Personnages,Type
Professeur Otto Lidenbrock,Science
La bonne Marthe,Technique
Axel,Science
Les gens renommés qui consulte Otto,Science
Graüben,Non def
Juif Hevelius,Non def
"Bozerian, Closs, Purgold",Dieu 
Snorre Turleson,Science
Odin,Dieu 
Arne Saknussemm,Science
Oedipe,Religion
Augustus Peterman,Science
Poisson,Non def
Humphry Davy,Science
M.Christiensen,Politique
Capitaine de l'Ellenora ,Technique
Les compagnons de voyage,Non def
Le portier du Phoenix,Non def
Mr Thomson,Science
Bjarne,Non def
Un gardien de Copenhague,Non def
Mr le Baron Trampe,Politique
Le maire Finson,Politique
Mr Fridriksson,Science
Les habitants de Reykjavik,Non def
Les savants qui sont passés en Islande,Science
Hans Bjelke,Technique
Paysan de Gardar,Technique
Recteur de stapi (Kyrkoherde),Science
Les 3 porteurs,Technique
Savants et botanistes,Science
Cuvier,Science
Omar,Religion
M. Milne-Edwards,Science
M. de Quatrefages,Science
des terrassiers,Technique
M. Boucher de Perthes,Science
"MM. Falconer, Busk, Carpenter, etc.",Science
M. Elie de Beaumont,Science
"Ajax, Oreste, les Spartiates, Astérius, Pausanias, Trapani, Polyphème, et autres prétendus corps retrouvés intactes et leurs trouveurs",Non def
Lucerne,Science
Dr. Félix Plater,Science
Blumenbach,Science
Homme de l'abime,Non def
Hoffmann,Non def
Enfant de Sicile,Non def
M. Barnum,Science
