Personnages+161:38,Type
Professeur Otto Lidenbrock,fictif
La bonne Marthe,fictif
Axel,fictif
Les gens renommés qui consulte Otto,indef
Graüben,fictif
Juif Hevelius,fictif
"Bozerian, Closs, Purgold",réel
Snorre Turleson,réel
Odin,mythologique
Arne Saknussemm,fictif
Oedipe,mythologique
Augustus Peterman,réel
Poisson,réel
Humphry Davy,réel
M.Christiensen,réel
Capitaine de l'Ellenora ,fictif
Les compagnons de voyage,fictif
Le portier du Phoenix,fictif
Mr Thomson,réel
Bjarne,fictif
Un gardien de Copenhague,indef
Mr le Baron Trampe,réel
Le maire Finson,indef
Mr Fridriksson,fictif
Les habitants de Reykjavik,indef
Les savants qui sont passés en Islande,indef
Hans Bjelke,fictif
Paysan de Gardar,indef
Recteur de stapi (Kyrkoherde),indef
Les 3 porteurs,fictif
Savants et botanistes,indef
Cuvier,mythologique
Omar,mythologique
M. Milne-Edwards,réel
M. de Quatrefages,réel
des terrassiers,réel
M. Boucher de Perthes,réel
"MM. Falconer, Busk, Carpenter, etc.",réel
M. Elie de Beaumont,réel
"Ajax, Oreste, les Spartiates, Astérius, Pausanias, Trapani, Polyphème, et autres prétendus corps retrouvés intactes et leurs trouveurs",mythologique
Lucerne,indef
Dr. Félix Plater,réel
Blumenbach,réel
Homme de l'abime,fictif
Hoffmann,réel
Enfant de Sicile,indef
M. Barnum,réel
