Personnages,STP
le directeur ,Science
etudiants,Science
N.Ford,Politique
alpha,NA
betas,NA
Gammas,NA
Deltas,NA
Epsilons,NA
Henry.Foster,Science
embryons,NA
Lenina Crowne,Technique
Bebes,NA
Reuben Rabinovitch,NA
Enfants,NA
Polly Trotsky,NA
Administrateur Mustapha Menier,Politique
Bernard Marx,Politique
Fanny Crowne,Technique
Docteur Wells,Science
Dieu,Politique
Sauvages,NA
Predestinateur adjoint,Politique
George Edzel,NA
Benito Hoover,NA
Helmholtz Watson,Politique
Morgana Rothschild,Politique
Fifi Bradlaugh,Politique
Joanna Diesel,Politique
Tom Kawaguchi,Politique
Sarojini Engels ,Politique
Jim Bokanovsky,Politique
Hebert Bakounine,Politique
Clara Deterding,Politique
conservateur de la reserve ,Technique
sauvages indiens & metis ...),NA
guide dans la reserve,Technique
Palowhtiwa (gamin),NA
coyote (deguisement),Politique
John,Politique
chasseur indiens,Technique
Linda,Technique
Pope,Technique
Jesus,Politique
vieillard Mitsima,Technique
william shakespeare,Politique
Kothlu,Technique
Kiakime,Technique
pere de kiakimé,Technique
Miranda,Technique
Docteur Shaw,Science
Miss Keate,Politique
Chancelier,Politique
Archi chantre,Politique
Infirmiere,Technique
policiers,Technique
Reporters,Technique
