Personnages,Attribut
le directeur ,Pro système
etudiants,Pro système
N.Ford,Ancien monde
alpha,NA
betas,NA
Gammas,NA
Deltas,NA
Epsilons,NA
Henry.Foster,Pro système
embryons,NA
Lenina Crowne,Pro système
Bebes,Pro système
Reuben Rabinovitch,Ancien monde
Enfants,NA
Polly Trotsky,Pro système
Administrateur Mustapha Menier,Pro système
Bernard Marx,Dissidents
Fanny Crowne,Pro système
Docteur Wells,Pro système
Dieu,Ancien monde
Sauvages,Dissidents
Predestinateur adjoint,Pro système
George Edzel,Pro système
Benito Hoover,Pro système
Helmholtz Watson,Dissidents
Morgana Rothschild,Pro système
Fifi Bradlaugh,Pro système
Joanna Diesel,Pro système
Tom Kawaguchi,Pro système
Sarojini Engels ,Pro système
Jim Bokanovsky,Pro système
Hebert Bakounine,Pro système
Clara Deterding,Pro système
conservateur de la reserve ,Pro système
sauvages indiens & metis ...),Ancien monde
guide dans la reserve,Pro système
Palowhtiwa (gamin),Ancien monde
coyote (deguisement),Ancien monde
John,Dissidents
chasseur indiens,Ancien monde
Linda,Pro système
Pope,Ancien monde
Jesus,Ancien monde
vieillard Mitsima,Ancien monde
william shakespeare,Ancien monde
Kothlu,Ancien monde
Kiakime,Ancien monde
pere de kiakimé,Ancien monde
Miranda,Pro système
Docteur Shaw,Pro système
Miss Keate,Pro système
Chancelier,Pro système
Archi chantre,Pro système
Infirmiere,Pro système
policiers,Pro système
Reporters,Pro système
