,Classification
Interviewer Calvin,Indefini
Susan Calvin,Science
Lawrence Robertson,Science
Alfred Lanning,Science
Collaborateurs Calvin,Science
Syndicats,Politique
Robbie,Technique
Petite fille au musee,Indefini
Gloria Weston,Indefini
Grace Weston,Indefini
George Weston,Indefini
Expedition Lefebvre-Yoshida,Technique
Voisins des Weston,Indefini
Ingenieur de l'U.S. Robots,Technique
Dizaine de petits garcons et petites filles,Indefini
Gens du village,Indefini
Francis Fran,Indefini
Hommes-leopards,Indefini
Eclair,Indefini
Couple pour entretenir la residence,Technique
Detectives,Politique
Touristes,Indefini
Lion,Indefini
Gardiens,Politique
Baleines,Indefini
Etranges animaux marins,Indefini
Trois preposes,Technique
Robot Parlant,Technique
Ingenieur prepose au robot parlant,Technique
Groupe mene par un guide,Indefini
Foule,Indefini
M. Struthers,Technique
Main d'œuvre robot,Technique
5 Hommes surveillant usine robots,Technique
Tracteur,Technique
Opposants aux robots,Politique
Plupart des gouvernements,Politique
Expedition 1,Technique
Robots Parlants expedies sur Mercure,Technique
Robot Parlant 1,Technique
Robot Parlant 2,Technique
MacDougal,Technique
Gregory Powell,Technique
Michael Donovan,Technique
Speedy,Technique
Corps inorganise,Indefini
McGuffy,Indefini
Les constructeurs de robots,Technique
Gilbert et Sullivan,Indefini
Cutie,Technique
Balayeur US Robots,Technique
Mathematiciens de l'US Robots,Science
l'U.S. Robots,Science
Etres humains sur les planetes,Indefini
Humains qui gerent les stations,Technique
Robots qui remplacent la main d'oeuvre humaine,Technique
Descartes,Indefini
Le maitre,Technique
Equipe de robots de la station,Technique
Robot modele MC,Technique
Nouveaux modeles QT,Technique
Franz Muller,Technique
Sam Evans,Technique
Dave,Technique
Six robots subsidiaires Dave,Technique
Les gars du bureau de dessin,Technique
Roboticien de l'U.S. Robots,Technique
L'homme de la rue,Indefini
Les vieux robots,Technique
Les nouveaux robots,Technique
DV-5-2,Technique
Modele DV preliminaire de l'usine,Technique
Herbie,Technique
Peter Bogert,Science
Milton Ashe,Science
Oberman,Indefini
Hommes sous les ordres d'Ashe,Indefini
Fiancee Milton,Indefini
Mitchell,Science
Comite national,Science
Le Cerveau,Science
Nestor 10,Technique
Gouvernement,Politique
General Kallner,Politique
Vaisseau marchand,Technique
Nestors modifies,Technique
2 derniers Nestors modifies,Technique
62 Nestors normaux,Technique
Responsables directement interesses,Indefini
Fondamentalistes,Politique
Nestors normaux,Technique
Techniciens de l'ether,Technique
Hauts Fonctionnaires,Politique
Frankenstein,Indefini
Gerald Black,Technique
Equipe de techniciens specialises,Technique
Walensky,Technique
Robots qui resistent mieux aux rayons,Technique
Relations a Washington,Politique
Homme test robots,Technique
Robot n 28,Technique
Coordinateur mondial,Politique
Robins,Technique
McAdams,Technique
Hommes travaillant a la base,Technique
Robot n 14,Technique
Personne conduisant au test,Technique
Robot n 15,Technique
La Consolidated,Science
Robertson,Science
Directeur general U.S. Robots,Science
Machine a penser Consolidated,Science
Abe Lewer,Science
Franciacci,Science
Les machines de la Consolidated,Technique
Technicien cerveau,Technique
Collegue technicien cerveau,Technique
Robots construction du Cerveau,Technique
Mecaniciens U.S. Robots,Technique
Personnel vaisseau,Technique
Experts voyages interstellaires,Science
Voix vaisseau,Indefini
Voix mort,Indefini
Cent millions de voix fantomes,Indefini
Voix enfer,Indefini
Foule arrivee vaisseau,Indefini
2 brancardiers,Indefini
Populations vivant sur terre,Indefini
Les Machines,Politique
Stephen Byerley,Politique
Francis Quinn,Politique
Napoleon,Politique
Habitants ville Byerley,Technique
Femme Byerley,Indefini
Hommes de Quinn,Indefini
John,Science
Jury,Politique
Juge,Politique
Societe,Indefini
Geolier,Technique
Bourreau,Technique
Policiers,Politique
Harroway,Politique
Reporters,Indefini
Photographes,Indefini
Procureur,Politique
Presentateur,Indefini
Madame Hoppen,Technique
Groupe radiologique,Indefini
Employeur Harroway,Politique
Lenton,Politique
Foule discours Byerley,Indefini
Citoyen provocateur,Indefini
Garde discours,Indefini
Hommes de Byerley,Technique
Vincent Silver,Politique
Hasbourgs,Indefini
Bourbons-Valois,Indefini
Adam Smith,Indefini
Karl Marx,Indefini
Societe pour l'humanite,Politique
L'arriere grand pere de Ching Hso-Lin,Indefini
Les enfant de l'arriere grand pere de Ching Hso-Lin,Indefini
Le grand pere de Ching Hso-Lin,Indefini
Les enfant du grand pere de Ching Hso-Lin,Indefini
Ching Hso-Lin,Politique
Population region Est,Indefini
Hommes licencies de Tianjin,Technique
Rama Vrasayana,Technique
Lincoln Ngoma,Politique
Francisco Villafranca,Technique
Mme Szegeczowska,Politique
Cinnabar Consolidated,Technique
Groupe d'Espagnols autochtones,Technique
Hiram Mackenzie,Politique
Acheteurs de coton,Technique
Cinq des directeurs des acieries mondiales,Technique
Le Congres,Politique
