,Genre
Interviewer Calvin,Indefini
Susan Calvin,Femme
Lawrence Robertson,Homme
Alfred Lanning,Homme
Collaborateurs Calvin,Indefini
Syndicats,Indefini
Robbie,Robot
Petite fille au musee,Femme
Gloria Weston,Femme
Grace Weston,Femme
George Weston,Homme
Expedition Lefebvre-Yoshida,Indefini
Voisins des Weston,Indefini
Ingenieur de l'U.S. Robots,Homme
Dizaine de petits garcons et petites filles,Indefini
Gens du village,Indefini
Francis Fran,Homme
Hommes-leopards,Indefini
Eclair,Chien
Couple pour entretenir la residence,Indefini
Detectives,Indefini
Touristes,Indefini
Lion,Animal
Gardiens,Indefini
Baleines,Animal
Etranges animaux marins,Animal
Trois preposes,Indefini
Robot Parlant,Robot
Ingenieur prepose au robot parlant,Homme
Groupe mene par un guide,Indefini
Foule,Indefini
M. Struthers,Homme
Main d'œuvre robot,Robot
5 Hommes surveillant usine robots,Homme
Tracteur,Robot
Opposants aux robots,Indefini
Plupart des gouvernements,Indefini
Expedition 1,Indefini
Robots Parlants expedies sur Mercure,Robot
Robot Parlant 1,Robot
Robot Parlant 2,Robot
MacDougal,Homme
Gregory Powell,Homme
Michael Donovan,Homme
Speedy,Robot
Corps inorganise,Indefini
McGuffy,Homme
Les constructeurs de robots,Indefini
Gilbert et Sullivan,Homme
Cutie,Robot
Balayeur US Robots,Homme
Mathematiciens de l'US Robots,Indefini
l'U.S. Robots,Societe
Etres humains sur les planetes,Indefini
Humains qui gerent les stations,Indefini
Robots qui remplacent la main d'oeuvre humaine,Robot
Descartes,Homme
Le maitre,Robot
Equipe de robots de la station,Robot
Robot modele MC,Robot
Nouveaux modeles QT,Robot
Franz Muller,Homme
Sam Evans,Homme
Dave,Robot
Six robots subsidiaires Dave,Robot
Les gars du bureau de dessin,Homme
Roboticien de l'U.S. Robots,Homme
L'homme de la rue,Homme
Les vieux robots,Robot
Les nouveaux robots,Robot
DV-5-2,Robot
Modele DV preliminaire de l'usine,Robot
Herbie,Robot
Peter Bogert,Homme
Milton Ashe,Homme
Oberman,Homme
Hommes sous les ordres d'Ashe,Homme
Fiancee Milton,Femme
Mitchell,Homme
Comite national,Indefini
Le Cerveau,Robot
Nestor 10,Robot
Gouvernement,Indefini
General Kallner,Homme
Vaisseau marchand,Indefini
Nestors modifies,Robot
2 derniers Nestors modifies,Robot
62 Nestors normaux,Robot
Responsables directement interesses,Indefini
Fondamentalistes,Indefini
Nestors normaux,Robot
Techniciens de l'ether,Homme
Hauts Fonctionnaires,Indefini
Frankenstein,Indefini
Gerald Black,Homme
Equipe de techniciens specialises,Indefini
Walensky,Homme
Robots qui resistent mieux aux rayons,Robot
Relations a Washington,Indefini
Homme test robots,Homme
Robot n 28,Robot
Coordinateur mondial,Indefini
Robins,Homme
McAdams,Homme
Hommes travaillant a la base,Homme
Robot n 14,Robot
Personne conduisant au test,Homme
Robot n 15,Robot
La Consolidated,Societe
Robertson,Homme
Directeur general U.S. Robots,Homme
Machine a penser Consolidated,Robot
Abe Lewer,Homme
Franciacci,Homme
Les machines de la Consolidated,Robot
Technicien cerveau,Homme
Collegue technicien cerveau,Homme
Robots construction du Cerveau,Robot
Mecaniciens U.S. Robots,Indefini
Personnel vaisseau,Indefini
Experts voyages interstellaires,Indefini
Voix vaisseau,Robot
Voix mort,Indefini
Cent millions de voix fantomes,Indefini
Voix enfer,Indefini
Foule arrivee vaisseau,Indefini
2 brancardiers,Indefini
Populations vivant sur terre,Indefini
Les Machines,Robot
Stephen Byerley,Homme
Francis Quinn,Homme
Napoleon,Homme
Habitants ville Byerley,Indefini
Femme Byerley,Femme
Hommes de Quinn,Indefini
John,Homme
Jury,Indefini
Juge,Indefini
Societe,Indefini
Geolier,Indefini
Bourreau,Indefini
Policiers,Indefini
Harroway,Homme
Reporters,Indefini
Photographes,Indefini
Procureur,Indefini
Presentateur,Indefini
Madame Hoppen,Femme
Groupe radiologique,Indefini
Employeur Harroway,Indefini
Lenton,Homme
Foule discours Byerley,Indefini
Citoyen provocateur,Homme
Garde discours,Indefini
Hommes de Byerley,Indefini
Vincent Silver,Homme
Hasbourgs,Indefini
Bourbons-Valois,Indefini
Adam Smith,Homme
Karl Marx,Homme
Societe pour l'humanite,Indefini
L'arriere grand pere de Ching Hso-Lin,Homme
Les enfant de l'arriere grand pere de Ching Hso-Lin,Indefini
Le grand pere de Ching Hso-Lin,Homme
Les enfant du grand pere de Ching Hso-Lin,Indefini
Ching Hso-Lin,Homme
Population region Est,Indefini
Hommes licencies de Tianjin,Indefini
Rama Vrasayana,Homme
Lincoln Ngoma,Homme
Francisco Villafranca,Homme
Mme Szegeczowska,Femme
Cinnabar Consolidated,Societe
Groupe d'Espagnols autochtones,Indefini
Hiram Mackenzie,Homme
Acheteurs de coton,Indefini
Cinq des directeurs des acieries mondiales,Indefini
Le Congres,Indefini
