Personnage,type
Bounce,science
Rover,science
Autorités,politique
Tige,science
William Stevens,technique
Charles F. Webster,NA
Betty Stevens,NA
Tondeuse automatique,technique
Docteur,science
Ole Johnson,technique
Martha Johnson,NA
Mark Bailey,NA
Lucinda,NA
Herbert,NA
John J. Webster,politique
Habitants des cités,NA
F.J. Adams,science/technique
Conrad,NA
Roquet de Conrad,NA
Henry Adams,politique
Levi Lewis,technique
Squatters,NA
Police,technique
Conseil municipal,politique
Jim Maxwell,technique
Paul Carter,politique
Propriétaires originaux des maisons,NA
Thomas Griffin,politique
Forrest King,politique
Harry,technique
Gens huppés,NA
Petits Anderson,NA
Secrétaire de Mr Taylor,NA
Mr Taylor,politique
Service de placement du Comité Mondial,politique
Gouvernement,politique
Hommes d'affaires,NA
Comité Mondial,science/politique
Nations Unis,politique
Fermiers,technique
Hommes de Levi,technique
Raymond Brown (secrétaire du maire),NA
Père de Henry Adams,science
Trésorieur-payeur,NA
Pompiers,technique
Futurs auteurs et artistes,NA
Jenkins,science/technique/politique
Jérôme A. Webster,science/politique
Thomas Webster,science/technique
Mère de Jérôme A. Webster,NA
Robots de Jérôme A. Webster,technique
Nelson F. Webster,NA
Pasteur,NA
John J. II Webster,NA
Mary Webster,NA
Les Websters,NA
Commision médicale du Comité Mondial,science
Juwain,science
Homme avec une serviette de cuir,NA
Robot qui lui ouvre la porte,technique
Foule dans la salle d'attente,NA
Raymond,NA
Mécaniciens,technique
Invités de Jérôme A. Webster,NA
Clayborne,science
Henderson,science/politique
Hommes de l'astronef,technique
Richard Grant,science
Nathanael,NA
Bruce Webster,science/politique
Elsie,NA
Chiens de Bruce,NA
Coureurs de crêtes,technique
Allen Webster,science/technique
Expédition Alpha du Centaure,science/technique
Oscar,technique
Dave Braxter,technique
Homme qui cherchait des villes,NA
Homme qui cherchait des routes,NA
Joe,science/technique
Grand père de Dave,technique
2 petits fils Baxter,NA
Bill,NA
frère de Bill,NA
Fourmis,technique
Sultan,NA
Quatres hommes de l'opération Jupiter,technique
Harold Allen,technique
Kent Fowler,science/politique
Coupole n°3,science/technique
Commission Topographique Jovienne,politique
Hommes des coupoles de Jupiter,NA
Miss Stanley,technique
Biologistes,science
Cuisinier,technique
Bennett,technique
Fiancée de Bennett,NA
Andrews,technique
Olson,technique
Skip,science
Tyler Webster,politique
John Culver,politique
Stephen Andrews,politique
Voyou/Elmer,NA
Grant,science/politique
Ebenezer,NA
Ombre,NA
Jon Webster,science
Randall,NA
Mlle Sara,NA
Tom Webster,NA
Ballentree,NA
Lupus,NA
Bruin,NA
Peter,NA
Joshua,science
Ichabod,science
Gros-Lard,NA
L'être d'ombre,NA
Troupe d'humains,NA
Archie,technique
Rufus,NA
Homère,science
Andrew,science/technique
Ezechias,NA
