Personnage,type
Bounce,chien
Rover,chien
Autorités,chien
Tige,chien
William Stevens,homme
Charles F. Webster,homme
Betty Stevens,homme
Tondeuse automatique,robot
Docteur,homme
Ole Johnson,homme
Martha Johnson,homme
Mark Bailey,homme
Lucinda,homme
Herbert,homme
John J. Webster,homme
Habitants des cités,homme
F.J. Adams,homme
Conrad,homme
Roquet de Conrad,chien
Henry Adams,homme
Levi Lewis,homme
Squatters,homme
Police,homme
Conseil municipal,homme
Jim Maxwell,homme
Paul Carter,homme
Propriétaires originaux des maisons,homme
Thomas Griffin,homme
Forrest King,homme
Harry,homme
Gens huppés,homme
Petits Anderson,homme
Secrétaire de Mr Taylor,homme
Mr Taylor,homme
Service de placement du Comité Mondial,homme
Gouvernement,homme
Hommes d'affaires,homme
Comité Mondial,homme
Nations Unis,homme
Fermiers,homme
Hommes de Levi,homme
Raymond Brown (secrétaire du maire),homme
Père de Henry Adams,homme
Trésorieur-payeur,homme
Pompiers,homme
Futurs auteurs et artistes,homme
Jenkins,robot
Jérôme A. Webster,homme
Thomas Webster,homme
Mère de Jérôme A. Webster,homme
Robots de Jérôme A. Webster,robot
Nelson F. Webster,homme
Pasteur,homme
John J. II Webster,homme
Mary Webster,homme
Les Websters,homme
Commision médicale du Comité Mondial,homme
Juwain,non terrien
Homme avec une serviette de cuir,homme
Robot qui lui ouvre la porte,robot
Foule dans la salle d'attente,homme
Raymond,homme
Mécaniciens,homme
Invités de Jérôme A. Webster,homme
Clayborne,homme
Henderson,homme
Hommes de l'astronef,homme
Richard Grant,homme
Nathanael,chien
Bruce Webster,homme
Elsie,homme
Chiens de Bruce,chien
Coureurs de crêtes,homme
Allen Webster,homme
Expédition Alpha du Centaure,homme
Oscar,robot
Dave Braxter,homme
Homme qui cherchait des villes,homme
Homme qui cherchait des routes,homme
Joe,mutant
Grand père de Dave,homme
2 petits fils Baxter,homme
Bill,homme
frère de Bill,homme
Fourmis,animal civilise
Sultan,chien
Quatres hommes de l'opération Jupiter,homme
Harold Allen,homme
Kent Fowler,homme
Coupole n°3,homme
Commission Topographique Jovienne,homme
Hommes des coupoles de Jupiter,homme
Miss Stanley,homme
Biologistes,homme
Cuisinier,homme
Bennett,homme
Fiancée de Bennett,homme
Andrews,homme
Olson,homme
Skip,chien
Tyler Webster,homme
John Culver,homme
Stephen Andrews,homme
Voyou/Elmer,chien
Grant,mutant
Ebenezer,chien
Ombre,robot
Jon Webster,homme
Randall,robot
Mlle Sara,homme
Tom Webster,homme
Ballentree,robot
Lupus,animal civilise
Bruin,animal civilise
Peter,homme
Joshua,chien
Ichabod,robot
Gros-Lard,animal civilise
L'être d'ombre,non terrien
Troupe d'humains,homme
Archie,animal civilise
Rufus,robot
Homère,chien
Andrew,robot
Ezechias,robot
