,Role
U.S. Robots,Politique
Dr. Susan Calvin,Science
Tony (Robot),Technique
Claire Belmont,Indéfini
Larry Belmont,Indéfini
Gladys Claffern,Indéfini
Peter Bogert,Science
Pilote du Parsec (Robot),Technique
Gerald Black,Science
Nigel Ronson,Politique
Richard Kallner,Politique
Directeur Schloss,Politique
Guide,Technique
Alfred Lanning,Science
Mortimer W. Jacobson,Indéfini
Charles Randow (Technicien de l'ordinateur),Technique
Lenny (Robot),Technique
(Ordinateur),Technique
Juge Harlow Shane,Politique
L'avocat de la défense,Politique
Pr. Barnabas H. Goodfellow,Science
Easy ( Robot),Technique
Francis J. Hart,Science
Pr. Minott,Science
Pr. Simon Ninheimer,Science
Pr. Jim Baker,Science
Scott Robertson,Politique
Dr. Speildell,Science
Jonathan Quell,Indéfini
Sam Tobe,Politique
AL-76 (Robot),Technique
Randolph Payne,Technique
Mirandy Payne,Indéfini
Lemuel Olivier Cooper,Indéfini
Shérif Saunder,Politique
Les Fermiers nerveux,Technique
Austin Wilde,Science
ZZ-Un (Robot),Technique
ZZ-Deux (Robot),Technique
ZZ-Trois (Robot),Technique
Le Jovien (expert en communication radio),Technique
Le peuple Jovien,Indéfini
Les maitres humains,Indéfini
L'Officiel Jovien,Politique
Mike Donovan,Science
Emma Deux (Robot),Technique
MacFarlane,Science
Elias Lynn,Science
Officier de Sécurité Ralph G. Brekenridge (Robot),Technique
Nous (Bloc Américain),Politique
Eux (Bloc Soviétique),Politique
Humphrey Carl Lazlo,Science
Les 10 Humanoïdes (Robots),Technique
Assistant à la Présidence Jeffreys,Politique
Secrétaire d’État à la Science Amberley,Politique
Secrétaire d’État à la Sécurité Macalaster,Politique
