Nom,Faction
Paul « Muad’Dib »Atréides – Usul,Atréides
Révérente Mère Gauis Helen Mohiam,Bene Gesserit
Dame Jessica Atréides,Bene Gesserit
Thufir Hawat,Atréides
Duc Leto Atréides,Atréides
Baron Vladimir Harkonnen,Harkonnen
Piter de Vries,Harkonnen
Feyd-Rautha Harkonnen,Harkonnen
Dr Wellington Yueh,Suk
Comte Fenring,Corino
Margot Dame Fenring,Corino
Kynes,Corino
Duncan Idahho,Atréides
Gurney Halleck,Atréides
Rabban « La Bête » Harkonnen ,Harkonnen
Soeur de Gurney Halleck,Atréides
Mère de Gurney Halleck,Atréides
Wanna Yueh,Suk
Empereur Padishah Corino «  Shaddam IV »,Corino
Princesse Irulan Corino,Corino
Shadout Mapes,Fremen
Vieux Duc Atréides,Atréides
Lieutenant de Thufir Hawat,Atréides
Liet,Fremen
Stilgar,Fremen
Pardee,Fremen
Homme de Dune,Fremen
Servante,Atréides
Lingar Bewt,Contrebandier
Esmar Tuek,Contrebandier
Banquier de la Guilde,Guilde
Kinet,Harkonnen
Czigo,Harkonnen
Colonel Bashar,Corino
Umman Kudu,Fremen
Iakin Nefud,Fremen
Homme en Robe,Fremen
Shamir,Fremen
Staban Tuek,Fremen
Drisq,Fremen
Mattai,Fremen
Père de Liet-Kynes,Fremen
Jamis,Fremen
Chani,Fremen
Larrus,Fremen
Farrukh,Fremen
Lemil,Fremen
Farok,Fremen
Shimoom,Fremen
Gladiateur-Esclave Atréides,Atréides
Harah,Fremen
Geoff,Fremen
Révérende Mère Ramallo,Fremen
Kaleff,Fremen
Orlop,Fremen
Leto II Atréides (premier),Atréides
Alia « l’Etrange » Atréides,Atréides
Chatt le Sauteur,Fremen
Shishakli,Fremen
Subiay,Fremen
Tharthar,Fremen
Shoab,Fremen
Capitaine de la chenille,Atréides
Korba,Fremen
Capitaine Aramsham,Corino
Otheym,Fremen
