Nom,Faction
Empereur Paul « Muad’Dib » Atréides,Fremen
Dame Jessica Atréides,Bene Gesserit
Princesse Irulan Corino,Corino
Empereur Padishah Corino «  Shaddam IV »,Corino
Alia « l’Etrange » Atréides,Fremen
Duc Leto Atréides,Atréides
Ducan Idaho,Atréides
Korba,Fremen
Chani,Fremen
Scytale,Bene Tleilax
Révérende Mère Gaius Helen Mohiam,Bene Gesserit
Edric,Guilde
Hayt,Bene Tleilax
Vieux Baron Harkonnen,Harkonnen
Jamis,Fremen
Harah,Fremen
Stilgar,Fremen
Beris,Fremen
Otheym,Fremen
Bijaz,Fremen
Farok,Fremen
Fils de Farok,Fremen
Liet-Kynes,Fremen
Lichna d’Otheym,Fremen
Gurney Halleck,Contrebandier
Beris,Fremen
Banerjee,Fremen
Dhuri,Fremen
Elpa,Fremen
Rajifiri,Fremen
Saajd,Fremen
Tecrube,Fremen
Bikouros,Fremen
Cahueit,Fremen
Djedida,Fremen
Abumojandis,Fremen
Rabban « La Bête »  Harkonnen,Harkonnen
Tandis,Fremen
Leto II Atréides (second),Fremen
Ghanima Atréides,Fremen
