Nom,Faction
Stilgar,Fremen
Empereur Paul « Muad’Dib » Atréides,Fremen
Leto II Atréides (second),Fremen
Ghanima Atréides,Fremen
Chani,Fremen
Dame Jessica Atréides,Bene Gesserit
Liet-Kynes,Fremen
Alia « l’Etrange » Atréides,Fremen
Harah,Fremen
Princesse Irulan Corino,Corino
Baron Vladimir Harkonnen,Harkonnen
Gurney Halleck,Contrebandier
Namri,Fremen
Sabiha,Fremen
Duncan Idaho,Fremen 
Le Levenbrech,Corino
Farad’n Corino,Corino
Empereur Padishah Corino « Shaddam IV »,Corino
Duc Leto Atréides,Atréides
Javid,Corino
Zebataleph,Fremen
Le Prêcheur,Fremen
Gabriel,Fremen
Assan Tariq,Fremen
Tyekanik,Corino
Princesse Wensicia Corino,Corino
Révérende Mère Gaius Helen Moiam,Bene Gesserit
Essas Paymon,Contrebandier
Ovide,Fremen
John Bartlett,Guilde
Ziarenka,Fremen
Buer Agraves,Fremen
Valefor,Fremen
Muriz,Fremen
Rabban « La Bête » Harkonnen,Harkonnen
Tanidia Nerus,Fremen
Piter de Vries,Harkonnen
Tagir Mohandis,Fremen
Gadhean al-Fali,Fremen
Dalak,Fremen
Comte Fenring,Corino
Palimbasha,Corino
Sennacherib,Fremen
Kaza,Fremen
Ziamad,Fremen
Kausar,Fremen
Abedi Jalal,Fremen
Yakup Abad,Fremen
Harum,Fremen
Melides,Fremen
Esmar Tuek,Contrebandier
Modibo,Fremen
Shalus,Fremen
Rajia,Fremen
