Personnage,Type
Capitaine vaisseau jedi,Technique
Qui Gon-Jinn,Science
Droides,Technique
DC14,Science
Obi-Wan Kenobi,Science
Nute Gunray,Politique
Daultay Dofine,Politique
Seigneur Sidious,Science
Rune Haako,Politique
Tey How,Technique
Droides destroyers,Technique
Padme Amidala,Politique
Senateur Palpatine,Politique
Capitaine Panaka,Technique
Sio Bibble,Politique
Jar-Jar Binks,Politique
Habitants ville sous-marine,Indefini
Capitaine Tarpals,Technique
Boss Nass,Politique
Soldats reine Naboo,Technique
Pilotes Naboo,Technique
R2D2,Science
Dark Maul,Politique
Sabe,Politique
Habitants Tatooine,Indefini
Watoo(revendeur),Technique
Anakin Skywalker,Science
Sebulba,Technique
Shmi Skywalker (mere Anakin),Technique
C3PO,Science
Presentateurs course module,Technique
Pilotes modules ,Indefini
Jabba le Hutt,Politique
Pillards Tusken,Technique
Pilote vaisseau princesse ,Technique
Chancelier Valorum,Politique
Suivantes de la princesse ,Politique
Gardes Chancelier ,Technique
Conseil des Jedis,Science
Mace Windu,Science
Yoda,Science
Habitant ville ,Indefini
Ki-Adi-Mundi,Science
Lott Dod (represnsant federation du comerce) ,Politique
Assemblee senateurs,Politique
