Personnage,Type
Capitaine vaisseau jedi,Humain
Qui Gon-Jinn,Humain
Droides,Robot
DC14,Robot
Obi-Wan Kenobi,Humain
Nute Gunray,Non-humain
Daultay Dofine,Non-humain
Seigneur Sidious,Humain
Rune Haako,Non-humain
Tey How,Non-humain
Droides destroyers,Robot
Padme Amidala,Humain
Senateur Palpatine,Humain
Capitaine Panaka,Humain
Sio Bibble,Humain
Jar-Jar Binks,Non-humain
Habitants ville sous-marine,Non-humain
Capitaine Tarpals,Non-humain
Boss Nass,Non-humain
Soldats reine Naboo,Humain
Pilotes Naboo,Humain
R2D2,Robot
Dark Maul,Non-humain
Sabe,Humain
Habitants Tatooine,Humain
Watoo(revendeur),Non-humain
Anakin Skywalker,Humain
Sebulba,Non-humain
Shmi Skywalker (mere Anakin),Humain
C3PO,Robot
Presentateurs course module,Humain
Pilotes modules ,Humain
Jabba le Hutt,Non-humain
Pillards Tusken,Non-humain
Pilote vaisseau princesse ,Humain
Chancelier Valorum,Humain
Suivantes de la princesse ,Humain
Gardes Chancelier ,Humain
Conseil des Jedis,Indefini
Mace Windu,Humain
Yoda,Non-humain
Habitant ville ,Indefini
Ki-Adi-Mundi,Humain
Lott Dod (represnsant federation du comerce) ,Non-humain
Assemblee senateurs,Indefini
