Nom,Faction
Empereur Leto II Atréides (second),Sentier d’Or
Emepereur Paul « Muad’Dib » Atréides,Fremen
Siona Atréides,Rebelle
Moneo Atréides,Sentier d’Or
Ghanima Atréides,Sentier d’Or
Duncan Idaho,Atréides
Malky,Rebelle
Hwi Noree,Ix
Nayla,Truitesse
Topri,Truitesse
Duro Nunepi,Truitesse
Inemir,Truitesse
Révérende Mère Eileen Anteac,Bene Gesserit
Marcus Claire Luyseyal,Bene Gesserit
Baron Vladimir Harkonnen,Harkonnen
Dame Jessica Atréides,Bene Gesserit
Duc Leto Atréides,Atréides
Gurney Halleck,Contrebandier
Stilgar,Fremen
Liet-Kynes,Fremen
Chani,Fremen
Alia ‘l’Etrange » Atréides,Fremen
Faroula,Rebelle
Rebeth Vreeb,Rebelle
Ulot,Rebelle
Kwuteg,Rebelle
Rodi,Rebelle
Setuse,Rebelle
Imineg,Rebelle
Onemao,Rebelle
Hutye,Rebelle
Memar,Rebelle
Oala,Rebelle
Jacob Broom,Aucune
Harq al-Ada,Fremen
Amica,Truitesse
Luli,Truitesse
Teishar,Fremen
Garun de Tuono,Fremen
Iyo Kobat,Ix
Anouk,Rebelle
Taw,Rebelle
Inquisiteur,Sentier d’Or
Soeur Chenoeh,Bene Gesserit
Soeur Tawsuoko,Bene Gesserit
Soeur Ikonicre,Bene Gesserit
Révérende Mère Syaksa,Bene Gesserit
Révérende Mère Yitob,Bene Gesserit
Révérende Mère Mamulut,Bene Gesserit
Révérende Mère Eknekosk,Bene Gesserit
Révérende Mère Akeli,Bene Gesserit
Otwhi Yake,Ix
Norma Cenva,Guilde
Aurelius Venport ,Guilde
Irti,Truitesse
Noah Arkwright,Guilde
Ampré,Truitesse
Nishae « Iylyo »,Truitesse
