Nom,Faction
Mère Supérieur Alma Mavis Taraza,Bene Gesserit
Duncan Idaho,Bene Gesserit
Révérende Mère Schwangyu,Bene Gesserit
Révérende Mère Lucille,Bene Gesserit
Révérende Mère Darwi Odrade,Bene Gesserit
Révérende Mère Bellonda,Bene Gesserit
Révérende Mère Tamalane,Bene Gesserit
Révérende Mère Luran Geasa,Bene Gesserit
Révérende Mère Janet Roxbrough,Bene Gesserit
Soeur Chenoeh,Bene Gesserit
Soeur Baram,Bene Gesserit
Acolyte Kipuna,Bene Gesserit
Bashar Miles Teg,Bene Gesserit
Patrin,Bene Gesserit
Sous Bashar Burzmali,Bene Gesserit
Sheeana Brugh,Bene Gesserit
Grand Prêtre Hedley Tuek,Prêtre de Rakis
Prêtre Stiros,Prêtre de Rakis
Prêtre Umprhud,Prêtre de Rakis
Prêtre Dromind,Prêtre de Rakis
Prêtre Baldik,Prêtre de Rakis
Prêtre Albertus,Prêtre de Rakis
Prêtre Tulushan,Prêtre de Rakis
Prêtresse Cania,Prêtre de Rakis
Prêtresse Alhosa,Prêtre de Rakis
Maitre Tylwyth Waff,Bene Tleilax
Maitre Mirlat,Bene Tleilax
Maitre Scytale,Bene Tleilax
Maitre Torg le Jeune,Bene Tleilax
Wose,Bene Tleilax
Ledden  Pook,Bene Tleilax
Empereur Leto II Atréides (second),Sentier d’Or
Emepereur Paul « Muad’Dib » Atréides,Fremen
Siona Atréides,Rebelle
Duc Leto Atréides,Atréides
Dame Jessica Atréides,Bene Gesserit
Ghanima Atréides,Sentier d’Or
Sibia,Bene Gesserit
Gurney Halleck,Contrebandier
Firus,Bene Gesserit
Dimcla,Bene Gesserit
Martin,Bene Gesserit
Loshy Teg,CHOM
Sabin,Bene Gesserit
Honorée Matriarche,Honorés Matriarches
Murbella,Honorés Matriarches
Mater,Honorés Matriarches
Yar ,Honorés Matriarches
Carlana,Honorés Matriarches
Muzzafar,Honorés Matriarches
Jafa,Honorés Matriarches
Solitz,Honorés Matriarches
Hwi Noree,Ix
Dimela Teg,Bene Gesserit
Baron Vladimir Harkonnen,Harkonnen
Stilgar,Fremen
Chani,Fremen
Liet Kynes,Fremen
Sirafa,Bene Gesserit
Ambitorm « Tormsa »,Bene Gesserit
Professeur Delnay,Bene Gesserit
