Nom,Faction
Mère Supérieure Darwi Odrade,Bene Gesserit
Mère Supérieure Almi Mavis Taraza,Bene Gesserit
Révérende Mère Tamalane,Bene Gesserit
Révérende Mère Bellonda,Bene Gesserit
Révérende Mère Lucille,Bene Gesserit
Révérende Mère Sheeana Brough,Bene Gesserit
Révérende Mère Sabanda,Bene Gesserit
Révérende Mère Schwangyu,Bene Gesserit
Révérende Mère Dortujla,Bene Gesserit
Révérende Mère Janet Roxbrough,Bene Gesserit
Révérende Mère Tsimpay,Bene Gesserit
Révérende Mère Fali,Bene Gesserit
Révérende Mère Eileen Anteac,Bene Gesserit
Révérende Mère Fintil,Bene Gesserit
Révérende Mère Jalanto,Bene Gesserit
Révérende Mère Perinte,Bene Gesserit
Rectrices Praska,Bene Gesserit
Rectrice Garimi,Bene Gesserit
Soeur Chenoeh,Bene Gesserit
Acolyte Aloana Streggi,Bene Gesserit
Acolyte Linchine,Bene Gesserit
Acolyte Suipol,Bene Gesserit
Acolyte Walli,Bene Gesserit
Bashar Miles Teg,Bene Gesserit
Bashar Burzmali,Bene Gesserit
Duncan Idaho,Bene Gesserit
Murbella,Bene Gesserit
Très Honorée Matriarche Dama « Reine-Araignée »,Honorés Matriarches
Honorée Matriache Logno,Honorés Matriarches
Patronesse Elpek,Honorés Matriarches
Angelika,Honorés Matriarches
Maitre Scytale,Bene Tleilax
Maitre Tylwyth Waff,Bene Tleilax
Rabbi,Israêl Secrête
Rébecca,Israêl Secrête
Sholem,Israêl Secrête
Edric,Israêl Secrête
Joshua,Israêl Secrête
Empereur Leto II Atréides (second),Sentier d’Or
Empereur Paul « Muad’dib » Atréides,Fremen
Dame Jessica Atréides,Bene Gesserit
Duc Leto Atréides,Atréides
Chani,Fremen
Thuffir Hawat,Atréides
Gurney Halleck,Contrebandier
Stilgar,Fremen
Roîtiro,Aucune
Yorgi,Aucune
Sibia,Bene Gesserit
Siona Atréides,Rebelle
Prester,Bene Gesserit
Duana,Bene Gesserit
Marty,???
Daniel,???
Loshy Teg,CHOM
Placido Salat,Bene Gesserit
Clairby,Bene Gesserit
Tribo,Bene Gesserit
Haker,Bene Gesserit
Hakka,Bene Gesserit
