Personnage,Type
Armand Corbackobasket,Technique
Docteur Verle Corbo (Psychiatre),Science
Monsieur Ploum,Politique
Employés,Technique
Passants,Indef
Barman,Politique
Clients bistrot,Indef
Corbeau du parc,Politique
Pigeons du parc,Politique
Gertrude Piaille,Indef
Général,Politique
Baronne Hildegarde Dubois du Cerceau,Politique
Léon,Indef
Jules et Germaine,Technique
Régiment de cavalerie,Technique
Chercheurs d'emploi,Indef
Monsieur Dugond,Politique
Mademoiselle Gladouille,Technique
Léontine,Indef
Marquis,Indef
Porteurs,Indef
Anges,Indef
Arbre,Indef
Chien,Indef
Grand père de Léon,Politique
Grand-mère de Léon - Amandine,Technique
Aide de camp du général,Technique
Mari de Léontine,Indef
Mme Mouchaboeuf et son amie,Indef
Amis de l'enfant,Indef
