Personnage,Type
Armand Corbackobasket,Allié
Docteur Verle Corbo (Psychiatre),Allié
Monsieur Ploum,Opposant
Employés,Opposant
Passants,Opposant
Barman,Opposant
Clients bistrot,Opposant
Corbeau du parc,Allié
Pigeons du parc,Opposant
Gertrude Piaille,Opposant
Général,Allié
Baronne Hildegarde Dubois du Cerceau,Allié
Léon,Allié
Jules et Germaine,Indef
Régiment de cavalerie,Indef
Chercheurs d'emploi,Opposant
Monsieur Dugond,Allié
Mademoiselle Gladouille,Indef
Léontine,Allié
Marquis,Opposant
Porteurs,Indef
Anges,Opposant
Arbre,Indef
Chien,Indef
Grand père de Léon,Indef
Grand-mère de Léon - Amandine,Indef
Aide de camp du général,Indef
Mari de Léontine,Indef
Mme Mouchaboeuf et son amie,Opposant
Amis de l'enfant,Indef
