Personnages,STP
Christoph (réalisateur),Politique
Truman,Science
Shakespeare,NA
Personne itw 1,NA
Personne itw 2,NA
Meryl,Technique
Voisin homme,Technique
Voisin femme,Technique
Voisin enfant,Technique
Spenser,Technique
Meurl (Buraliste),Technique
Hank,Technique
2 frères,Technique
Patron Truman,Technique
Collegue Truman 1,Technique
Collegue Truman 2,Technique
Collegue Truman 3,Technique
Lauren (Sylvia),Science
Dentiste,Technique
Vendeur ticket bateau,Technique
Commandants bateau,Technique
Marlone,Politique
Père Truman (Keurk),Technique
Enfant Truman (projet),Science
Surveillant parking 1 (téléspectateur),Science
Surveillant parking 2 (téléspectateur),Science
Client journal,Technique
Intervenants contre père de Truman,Politique
Personnes qui gènent la course de Truman,Politique
Mère de Truman,Technique
Barmaid 1 (téléspectatrice),Science
Barmaid 2 (téléspectatrice),Science
Barman 3 (téléspectateur),Science
Trompetiste,Technique
Rita,Technique
Personnes qui font disparaitre Lauren,Politique
Père Lauren,Technique
Metteurs en scène,Politique
Figurante presques écrasé,Technique
'acteurs qui s''arretent',Technique
Groupe de figurants observé par Truman 1,Technique
Groupe de figurants observé par Truman 2,Technique
Groupe de figurants observé par Truman 3,Technique
Securité qui surveille Truman,Technique
Metteuse en scène,Politique
Techniciens,Politique
Jin,Politique
Jodie,Technique
Joanne,Technique
Infirmère qui arrète Truman,Technique
Groupe en fauteuil qui tente de ralentir Truman,Technique
Infirmier,Technique
Groupe intervention médical,Politique
'Police qui cache l''action à Truman',Politique
Femme agence de voyage,Technique
Vendeur ticket Chicago,Technique
Conducteur bus,Technique
Petite fille,Technique
Spectateurs bar,Politique
Figurant deviné par Truman 1,Technique
Figurant deviné par Truman 2,Technique
Figurant deviné par Truman 3,Technique
Groupe de voiture qui arrete Truman,Politique
Police station nucléaire,Politique
Pompier station nucléaire,Politique
Scientifiques station nucléaire,Politique
Chloé (Réalisatrice),Politique
Sémio (chef metteur en scène) ,Politique
Vielles téléspectatrices,Science
Assistant Sémio,Politique
Pianiste ,Technique
Ingé son,Technique
Producteurs émission,Politique
Sécurité,Politique
Autre Technicien,Technique
Spectateurs asiatiques,Science
Presentateur TV,Science
Technicien cloture,Technique
Spectateur bain,Science
Famille spectateur,Science
Imposteur cadeau,Politique
Imposteur parachute,Politique
Maitresse Truman,Technique
Spectateur téléphone,Science
Bébés candidats au show,Science
Opératrice vente,Technique
Viviane (supposée futur femme de Truman),Technique
Ensemble des techniciens Truman Show,Politique
Client téléphonique Truman,Technique
Ensemble des acteurs à la recherche de Truman,Politique
Autre metteur en scène,Politique
Journaliste,NA
