Personnage,STP
Bender,Technique
Fry,Politique
Ieela,Politique
Hubert Farnsworth,Science
Docteur Zoidberg,Science
Amy Wong,NA
Hermes,NA
Zapp Brannigan,Politique
Kif Kroker,Politique
Nibler,NA
Maire NewNew York,Politique
Girshift,Technique
Oli,Technique
Grobot,Technique
Homme coney island community college,NA
Filles fac,NA
Les arrogants,NA
Guenter,Science
Prof fac,Science
Doyen université,Science
Chrissy,NA
Parents Amy,NA
Parents Guenter,NA
Régisseur,Technique
juge,Politique
avocate,Politique
secr�taire,Technique
extraterrestre homme,Science
extraterrestre femme,Science
chien amy,NA
homme muscl�,NA
vaisseaux aliens,Technique
pr�sentatrice tv,Politique
pr�sident mcneal,Politique
extraterrestres,Science
remplacants,NA
robot draqueen,Technique
enfant,NA
slurms mckenzie,NA
guillermo,Politique
filles,NA
travailleurs slurms,NA
slurmelier,NA
gardes slurm,Politique
roi slurm,Politique
dame robot,Technique
labarbara,NA
croupier,NA
barman,Technique
'promis d''amy ',NA
securit� bar,Politique
copine professeur,NA
Duck,NA
Serveuse,Technique
homme ,NA
Femme au bar,NA
Boltroland,NA
CRABE ,NA
M938,Science
Vieille homme qui balaie,Technique
Hommes de Brannigan,Politique
gardes de Brannigan,Politique
Joueurs baseball,Technique
serveur,Technique
Public,NA
Pigeon,NA
Garde robot,Technique
Robots,Technique
Pr�sident robot,Technique
Ancien robots,Technique
Camarades de classe,NA
Vendeuse de parfum,Technique
Vendeur,Technique
Policiers,Technique
Banquiere ,Technique
SERVEUR ROBOT ,Technique
MOM,NA
SERVITEUR DE MOM,Politique
PIZAYOLO,NA
Pamela Anderson,NA
ROBOT ,Technique
BestiBoys,Technique
Foule Concert,NA
Fender,Technique
Pr�tre Robot ,Politique
Serveur restaurant ,Technique
Femme robot,Technique
Roi Enfer des robots,Technique
Professeur Welstrom ,Science
Scientifiques ,Science
Ron popeil,Science
Docteur reportage ,Science
Assistante maire ,Politique
Pr�sentateur �mission,Politique
Chef militaire,Politique
Citoyen New new york,Politique
Vendeur magasin,Technique
SDF,Politique
'Vendeur d''organe',Politique
Empereur ,Politique
Garde,Politique
Grand pr�tre ,Politique
Ancien 1er ministre ,Politique
Humoriste ,Technique
Peuple ,NA
pr�sentateur ELZAR ,NA
Michelle,Politique
'Gens de l''an 2000',Politique
patron de la pizzeria de fry,NA
Employ�s de la station de cryog�nisation,Science
Fermier lunaire,Politique
Filles robots du fermier,Technique
Calculon,Politique
