Personnage,Attribut
Bender,Robot
Fry,Humain
Ieela,Extra-terrestre 
Hubert Farnsworth,Humain
Docteur Zoidberg,Extra-terrestre 
Amy Wong,Humain
Hermes,Humain
Zapp Brannigan,Humain
Kif Kroker,Extra-terrestre 
Nibler,Extra-terrestre 
Maire NewNew York,Humain
Girshift,Robot
Oli,Robot
Grobot,Robot
Homme coney island community college,Humain
Filles fac,Humain
Les arrogants,Humain
Guenter,Autre
Prof fac,Humain
Doyen université,Humain
Chrissy,Humain
Parents Amy,Humain
Parents Guenter,Autre
Régisseur,Humain
juge,Humain
avocate,Humain
secr�taire,Humain
extraterrestre homme,Extra-terrestre 
extraterrestre femme,Extra-terrestre 
chien amy,Autre
homme muscl�,Humain
vaisseaux aliens,Extra-terrestre 
pr�sentatrice tv,Humain
pr�sident mcneal,Humain
extraterrestres,Extra-terrestre 
remplacants,Autre
robot draqueen,Robot
enfant,Humain
slurms mckenzie,Extra-terrestre 
guillermo,Extra-terrestre 
filles,Humain
travailleurs slurms,Extra-terrestre 
slurmelier,Extra-terrestre 
gardes slurm,Extra-terrestre 
roi slurm,Extra-terrestre 
dame robot,Robot
labarbara,Humain
croupier,Humain
barman,Humain
'promis d''amy ',Humain
securit� bar,Robot
copine professeur,Autre
Duck,Humain
Serveuse,Humain
homme ,Humain
Femme au bar,Humain
Boltroland,Autre
CRABE ,Autre
M938,Extra-terrestre 
Vieille homme qui balaie,Humain
Hommes de Brannigan,Humain
gardes de Brannigan,Humain
Joueurs baseball,Humain
serveur,Humain
Public,Humain
Pigeon,Autre
Garde robot,Robot
Robots,Robot
Pr�sident robot,Robot
Ancien robots,Robot
Camarades de classe,Humain
Vendeuse de parfum,Humain
Vendeur,Humain
Policiers,Humain
Banquiere ,Humain
SERVEUR ROBOT ,Robot
MOM,Humain
SERVITEUR DE MOM,Humain
PIZAYOLO,Humain
Pamela Anderson,Humain
ROBOT ,Robot
BestiBoys,Autre 
Foule Concert,Humain
Fender,Robot
Pr�tre Robot ,Robot
Serveur restaurant ,Humain
Femme robot,Robot
Roi Enfer des robots,Robot
Professeur Welstrom ,Humain
Scientifiques ,Humain
Ron popeil,Autre 
Docteur reportage ,Humain
Assistante maire ,Humain
Pr�sentateur �mission,Humain
Chef militaire,Humain
Citoyen New new york,Humain
Vendeur magasin,Humain
SDF,Humain
'Vendeur d''organe',Humain
Empereur ,Extra-terrestre 
Garde,Extra-terrestre 
Grand pr�tre ,Extra-terrestre 
Ancien 1er ministre ,Extra-terrestre 
Humoriste ,Humain
Peuple ,Humain
pr�sentateur ELZAR ,Extra-terrestre 
Michelle,Humain
'Gens de l''an 2000',Humain
patron de la pizzeria de fry,Humain
Employ�s de la station de cryog�nisation,Humain
Fermier lunaire,Humain
Filles robots du fermier,Robot
Calculon,Robot
