,
Policiers,Technique
Trinity,Technique
Agent Smith,Politique
Morpheus,Politique
Neo - Thomas A. Anderson,L'ELU
Charlie & sa bande,NA
Punks ,NA
Patron Reinhart,NA
Laveurs de vitre,NA
Livreur,NA
Employés de bureau,NA
Foule,NA
Switch,Technique
Epok,Technique
Alice (aPdM),NA
Cypher,Technique
Tank,Technique
Araignée du Chaos,Technique
Dozer,Technique
Le Mulot,Technique
L'Oracle,Politique
Femme à la robe rouge,Technique
Sentinelle,Technique
Vieil aveugle,NA
Assistante Oracle,Technique
Jeunes prodiges,Scientifique
