,
Policiers,Humain esclave
Trinity,Humain libre
Agent Smith,Machine
Morpheus,Humain libre
Neo - Thomas A. Anderson,Humain libre
Charlie & sa bande,Humain esclave
Punks ,Humain esclave
Patron Reinhart,Humain esclave
Laveurs de vitre,Humain esclave
Livreur,Humain esclave
Employés de bureau,Humain esclave
Foule,Humain esclave
Switch,Humain libre
Epok,Humain libre
Alice (aPdM),Conte & Légende 
Cypher,Humain libre
Tank,Humain libre
Araignée du Chaos,Machine
Dozer,Humain libre
Le Mulot,Humain libre
L'Oracle,Humain libre
Femme à la robe rouge,Machine
Sentinelle,Machine
Vieil aveugle,Humain esclave
Assistante Oracle,Humain libre
Jeunes prodiges,Humain libre
