Personnage,Type
Scarlet O'Hara,Politique
Ray STEAM,Science
Edward STEAM,Science
Archibald SIMON,Politique
Lloyd STEAM,Science
Jason,Politique
Alfred Smith,Politique
David,Science
Prof. Stephenson,Science
Général Anglais,Politique
Emma,Indéfini
Thomas,Indéfini
Ray no Haha,Indéfini
Ouvriers filature,Technique
Inspecteurs fondation O hara,Politique
Colombus,Indéfini
Peter,Technique
Directeur d'une filature,Technique
Habitants de Manchester,Indéfini
Londoniens,Indéfini
Conducteur de train,Technique
Chris,Indéfini
Fils du directeur de la filature,Indéfini
Président de la fondation,Politique
Ouvriers fondation O'Hara,Technique
Cheminots,Technique
Chefs d’Etat,Politique
Marins,Technique
Armée anglaise,Technique
Soldats de la fondation,Technique
