Personnages,STP
Gens du cirque ,technique
Spectateurs,indef
Magicien,technique
Commissaire konakawa ,politique
Paprika ,technique
Agresseur ,technique
Villageois,indef
Meurtrier,technique
Victime de meurtre ,indef
Employé de bureau,technique
Vigile,technique
Clients du burger,indef
Scientifique Shiba Hatsuko,science
Professeur Tokita,technique
Directeur Shima,science
Employés du labo ,science
Président du labo,politique
terroriste ,politique
parade,indef
infirmière,technique
poupée de la parade ,politique
Himuro,technique
Assistant du labo Hosana,politique
serveuse ,technique
collègue du commissaire,politique
barmen,technique
ambulanciers,technique
passants,indef
ami de jeunesse de Konakawa,indef
présentatrice météo,politique
journaliste,politique
