Personnages,Type
Gens du cirque ,fictif
Spectateurs,fictif
Magicien,fictif
Commissaire konakawa ,réel
Paprika ,réel et fictif
Agresseur ,réel
Villageois,fictif
Meurtrier,fictif
Victime de meurtre ,réel
Employé de bureau,réel
Vigile,réel
Clients du burger,réel
Scientifique Shiba Hatsuko,réel
Professeur Tokita,réel
Directeur Shima,réel
Employés du labo ,réel
Président du labo,réel et fictif
terroriste ,réel
parade,fictif
infirmière,réel
poupée de la parade ,fictif
Himuro,réel
Assistant du labo Hosana,réel
serveuse ,réel
collègue du commissaire,réel
barmen,indéfinis
ambulanciers,réel
passants,réel
ami de jeunesse de Konakawa,réel
présentatrice météo,réel
journaliste,réel
