Personnages,Type
John Oldman,Science
Dan,Science
Harry ,Science
Edith,Science
Sandy,Science
Arthus Jenkins,Science
Linda Murphy,Science
Elie,Science
Handson,NA
'Parents d''Elie',NA
Homme de cromagnon,Technique
Tribu de cromagnon,Technique
Bouddha,Religion
William Gruber,Science
Equipe de demenagement,Technique
Ami immortel de John ,Politique
George,NA
Trimble,NA
Sous doyen,Politique
Jesus,Religion
Dieu,Religion
Napoleon,Politique
Kennedy,Politique
Voltaire,Politique
Pape,Religion
Goethe,Politique
Beethoven,Politique
Egyptiens,Politique
Roi mages,Politique
Parents de Will,NA
Secours,Technique
