Personnages,Type
John Oldman,Les deux
Dan,Present
Harry ,Present
Edith,Present
Sandy,Present
Arthus Jenkins,Present
Linda Murphy,Present
Elie,Present
Handson,Present
'Parents d''Elie',Present
Homme de cromagnon,Passe
Tribu de cromagnon,Passe
Bouddha,Passe
William Gruber,Present
Equipe de demenagement,Present
Ami immortel de John ,Passe
George,Passe
Trimble,Passe
Sous doyen,Present
Jesus,Passe
Dieu,Passe
Napoleon,Passe
Kennedy,Passe
Voltaire,Passe
Pape,Passe
Goethe,Passe
Beethoven,Passe
Egyptiens,Passe
Roi mages,Passe
Parents de Will,Passe
Secours,Present
