Personnage,Type
Solf J. Kimblee,Sciences
Armee Central,Militaire
Scar,Sciences
Edward Elric,Sciences
Alphonse Elric,Sciences
Yoki,Indéfini
Ishbal,Indéfini
Dr Marcoh,Sciences
May,Sciences
Winry Rockbell,Technique
Izumi Curtis,Sciences
Capitaine Buccaneer,Militaire
Soldat Briggs,Militaire
Olivier Mira Armstrong,Militaire
Alex Louis Armstrong,Militaire
Armee Drachma,Militaire
Docteur Briggs femme,Sciences
Commandant Miles,Militaire
Docteur Briggs homme,Sciences
Fuhrer Bradley,Militaro-politique
Homonculus,Sciences
Sous-Lieutenant Falman,Militaire
Sloth,Sciences
Pere,Sciences
Lieutenant-general Raven,Militaire
pierre philosophale,Sciences
Alchimiste a la dent d'or,Sciences
Mustang,Militaro-politique
Hawkeye,Militaire
Havoc,Militaire
Envy,Militaire
Hohenheim,Technique
Trisha Elric,Indéfini
Pride (Selim),Sciences
Parents de Winry,Sciences
les 2 Chimeres (Jerso et Zampano),Sciences
armee de l'est,Militaire
femme du Fuhrer,Indéfini
Gluttony,Sciences
