Personnage,Type
Famille de singe de la mere,Technique
Groupe de chasseurs,Technique
'Mere de Cesar (n9  beaux yeux)' ,Scientifique
Franklin (chercheur roux),Scientifique
"Will (chercheur et ""pere"" de Cesar)",Scientifique
figurants de Gen-sys,Scientifique
Steven Jacobs (homme noir qui dirige le programme de ALZ 112),Politique
equipe de direction de Gen-sys ( = CA),Politique
Entreprise Gen-sys,Scientifique
Chercheurs du labo,Scientifique
'L''Homme (generalite)',Autre
Personne de la securite,Technique
Singes du laboratoire,Scientifique
Cesar,Scientifique
Beau-frere de Franklin (gardien),Technique
Aide soignante du pere de Will (Irena),Scientifique
Charles (pere de Will),Scientifique
Shakespeare ( reference de Charles),Autre
'Cesar (le romain  reference de Charles)' ,Autre
visiteurs du zoo,Technique
Voisin ( pere de Todd et de la petite fille),Technique
enfants du voisinage,Technique
Groupe de singe du Zoo,Technique
Caroline (copine de Will et medecin du zoo),Scientifique
Race des singes en general (inclus termes generiques),Autre
'Promeneurs de la forêt ( mari et femme enfant)' ,Technique
Chien des promeneurs,Technique
Passant pres de Gen-sys,Technique
Policiers,Technique
Passants pres de la maison de Will,Technique
John ( gerant SBPS),Technique
Singes du refuge,Technique
Dodge,Technique
hotesse refuge,Technique
112/113,Scientifique
Roy,Technique
koba(singe avec cicatrice),Scientifique
singe king-kong,Technique
singe beauf (pas beau et veut se battre),Technique
Maurice (orang-outan),Politique
amis de Dodge,Technique
Cornelia(singe),Technique
Analystes de gen-lab,Scientifique
Dottie,Technique
Animal Care & Control,Autre
Singes reunis,Technique
Garde chevaux,Technique
Figurants pont,Technique
SWAT,Technique
