Personnage,Espèce
Famille de singe de la mere,Singe
Groupe de chasseurs,Homme
'Mere de Cesar (n9  beaux yeux)' ,Singe
Franklin (chercheur roux),Homme
"Will (chercheur et ""pere"" de Cesar)",Homme
figurants de Gen-sys,Homme
Steven Jacobs (homme noir qui dirige le programme de ALZ 112),Homme
equipe de direction de Gen-sys ( = CA),Homme
Entreprise Gen-sys,Autre
Chercheurs du labo,Homme
'L''Homme (generalite)',Homme
Personne de la securite,Homme
Singes du laboratoire,Singe
Cesar,Singe
Beau-frere de Franklin (gardien),Homme
Aide soignante du pere de Will (Irena),Homme
Charles (pere de Will),Homme
Shakespeare ( reference de Charles),Autre
'Cesar (le romain  reference de Charles)' ,Autre
visiteurs du zoo,Homme
Voisin ( pere de Todd et de la petite fille),Homme
enfants du voisinage,Homme
Groupe de singe du Zoo,Singe
Caroline (copine de Will et medecin du zoo),Homme
Race des singes en general (inclus termes generiques),Autre
'Promeneurs de la forêt ( mari et femme enfant)' ,Homme
Chien des promeneurs,Autre
Passant pres de Gen-sys,Homme
Policiers,Homme
Passants pres de la maison de Will,Homme
John ( gerant SBPS),Homme
Singes du refuge,Singe
Dodge,Homme
hotesse refuge,Homme
112/113,Autre
Roy,Homme
koba(singe avec cicatrice),Singe
singe king-kong,Singe
singe beauf (pas beau et veut se battre),Singe
Maurice (orang-outan),Singe
amis de Dodge,Homme
Cornelia(singe),Singe
Analystes de gen-lab,Homme
Dottie,Homme
Animal Care & Control,Homme
Singes reunis,Singe
Garde chevaux,Homme
Figurants pont,Homme
SWAT,Homme
