Personnages,Type
Okabe ,Membre du Labo
Mayuri ,Membre du Labo
Kurisu ,Membre du Labo
Suzuha ,Membre du Labo
Daru ,Membre du Labo
Feyris ,Membre du Labo
Mr Braun,CERN
Nakabashi,Autre
John Titor,Autre
L'organisation,Autre
CERN,CERN
Dmail,Membre du Labo
Voyage temporel,Autre
Dr Pepper,Autre
Steins gate,Autre
Ruka ,Membre du Labo
Pere de Ruka,Autre
Moeka ,Membre du Labo
IBN5100,Autre
ligne d'univers BETA,Autre
Z programme,CERN
Nae,Autre
FB,CERN
May queen,Autre
Readingsteiner,Autre
pere de Ferys,Autre
Barel Titor,Autre
Transfert de memoire,Membre du Labo
Tueurs(veilleur),CERN
Mort de Mayuri,Autre
Mort de Kurisu,Autre
Fubuki,Autre
Barriere de divergence,Autre
Groupe de resistance,Autre
