Personnage,attribut
Caesar flickerman (présentateur),politique
Seneca Crane,politique
katniss ,technique
Primrose ,technique
vieille dame,indef
les deux enfants,indef
Groupe de travailleurs,technique
vieux monsieur,indef
biche,indef
Gale,technique
Effie trinket,politique
Travailleurs en blanc,technique
personnes dans l'atelier,indef
Gardes,indef
Mêre de katniss,technique
Tout le district 12 ,technique
Peeta Mellark,technique
Haymitch,politique
Foule,indef
Médecin/préparateur,science
Cinna,technique
Membres du gouvernement,politique
Claudius Templesmith (présentateur),politique
Président Snow,politique
Tributs,technique
Sponsors,politique
Cato,politique
Clove,politique
Marvel,politique
Glimmer,politique
Tributs 3,politique
Tribut 4,politique
Marina,politique
Tribut 5,politique
La Renarde,politique
Tribut 6,politique
Jason,politique
Tributs 7,politique
Tributs 8,politique
Tributs 9,politique
Tributs 10,politique
Rue ,politique
Tresh,politique
