Personnage,STP
Curtis,politique
Namgoong Minsoo,technique
Wilford,politique
Gillam,politique
Mason,politique
Edgar,technique
Tanya,technique
Andrew,technique
Yona,technique
Grey,technique
Claude,technique
Fuyu,technique
Peintre,art
Tim,technique
Paul,technique
Gerald,art
Doris,art
Soldat1,technique
Soldat2,technique
Femme officier,technique
Chan,technique
tueur,technique
Andy,technique
Soldats homme de main,technique
foule 2nd classe,technique
passagers 2nd classe,technique
foule 1ere classe,loisir
passager 1e classe,loisir
garde,technique
armee,technique
cultivateurs,technique
maitre sushi,technique
maitresse,technique
enfants,technique
Les 7,politique
monsieur œufs,technique
metiers service,technique
operateurs,technique
