Personnage,STP
Zachry,technique
Dr Henry Goose,science
Ewings,politique
Equipage,technique
Capitaine du navire,politique
Luisa Ray,technique/politique
Timothy Cavendish (éditeur),technique
Sixsmith,science
Frobisher,technique
Vyvyan Ayrs,technique
Sonmi,technique/politique
Archiviste,politique
Ministère,politique
Police,technique
Dermot Hoggins,technique
Horrox,technique
Haskel Moore,technique
Kupaka,technique
esclaves noirs,technique
Direction,technique
Prof Mackerras,technique
Jocasta,autre
Lester Ray,technique
Megan Sixsmith,autre
Felix Finch,technique
Cousins de Dermot,technique
Papa Song,politique
Prophète Rhee,politique
Yoona-939,technique
Adam,technique
Fils d'Adam (Jonas),technique
Tribu Koba,technique
Prescients,technique
Chaton (nièce de Zach),technique
Mère de Chaton,technique
Meronyme,technique
Homme dans la tete de Zach,autre
Village de Zach,technique
Déesse Sonmi,religieux
Hae Joo Chang,technique/politique
Denholme Cavendish,technique
Georgette Cavendish,autre
Tilda,autre
Autua,technique
Bill Smoke,technique
Kesselring,autre
Ursula,technique
Abesse,religieux
Javier,technique
Mme Noaks (gouvernante,technique
Joe Napier,technique/politique
Mr Hooks,politique
chercheur Isaac Sachs,science
Soldats en noir (Neo Seoul),technique
Chef des soldats,politique
accueil hotel,technique
Groupe de retraités,technique
