Personnage,STP
Vieille Dame (1),non défini
Cooper (Papa),politique
Murphy,science
Donald (Grand-Père),non défini
Vieille Dame (2),non défini
Homme qui balaie,non défini
Vieille Dame (3),non défini
Vieille Homme Borne (1),non défini
Tom,technique
Nelson (fermier voisin),technique
"Mlle ""Anlay""",politique
Directeur école,politique
scientifique ,science
Femme Cooper,non défini
Vieille Dame (4),non défini
Vieille Homme (2),non défini
Vieille Homme (3),non défini
Public Baseball,non défini
TARS (robot),technique
Doctor Brand,science
Professeur Brand,science
Copain Murphy,science
"""EUX""",non défini
Romilly,science
Doyle,science
Miller,science
Man,science
Edmoons,science
C.A.S.E (robot),technique
Loïssia (copine Tom),non défini
Jessy (fils de Tom),non défini
enfants cooper,non défini
humanité,non défini
Kipp,technique
fantôme,politique
2ème fils Tom,non défini
docteurs,science
journaliste,politique
famille Murphy,non défini
