Personnage,Type
Vieille Dame (1),terre
Cooper (Papa),espace
Murphy,terre
Donald (Grand-Père),terre
Vieille Dame (2),terre
Homme qui balaie,terre
Vieille Dame (3),terre
Vieille Homme Borne (1),terre
Tom,terre
Nelson (fermier voisin),terre
"Mlle ""Anlay""",terre
Directeur école,terre
scientifique,terre
Femme Cooper,terre
Vieille Dame (4),terre
Vieille Homme (2),terre
Vieille Homme (3),terre
Public Baseball,terre
TARS (robot),espace
Doctor Brand,espace
Professeur Brand,terre
Copain Murphy,terre
"""EUX""",espace
Romilly,espace
Doyle,espace
Miller,espace
Man,espace
Edmoons,espace
C.A.S.E (robot),espace
Loïssia (copine Tom),terre
Jessy (fils de Tom),terre
enfants cooper,terre
humanité,terre
Kipp,espace
fantôme,espace
2ème fils Tom,terre
docteurs,terre
journaliste,terre
famille Murphy,espace
