Personnage,Type
Thomas,Politique
Les blocards,Technique
Gally,Politique
Chuck,Technique
Minho,Politique
Alby,Politique
Nick,Technique
Newt,Politique
Ben,Technique
Les Griffeurs,Science
Poêle-à-frire,Technique
Les coureurs,Technique
WICKED,Science
Teresa,Politique
Les matons,Politique
Clint,Science
Jeff,Science
Stephen,Technique
George,Technique
Winston,Politique
Zart,Politique
Billy,Technique
Jackson,Technique
Adam,Technique
Dave,Technique
Ava Page,Politique
Les sauveteurs,Politique
Les fondus,Technique
Groupe B,Technique
