Personnage,Type
Thomas,Politique
Les blocards,Technique
Gally,Politique
Newt,Politique
Frypan,Technique
Zart,Politique
Alby,Politique
WICKED,Science
Les coureurs,Technique
Chuck,Technique
Minho,Politique
Ben,Technique
Winston,Politique
Jeff,Science
Clint,Science
Les griffeurs (cerbères),Science
Les bâtisseurs,Technique
Les trancheurs,Technique
Ava Paige,Politique
Lee,Technique
Stephen,Technique
Adam,Technique
Jack,Technique
Mick,Technique
Scott,Technique
Stan,Technique
Eric,Technique
Rob,Technique
Joe,Technique
Alfred,Technique
Wes,Technique
Justin,Technique
Doug,Technique
George,Technique
Nick,Technique
Aidan,Technique
Wyck,Technique
Jim,Technique
Henry,Technique
Dan,Technique
Jackson,Technique
Dimitri,Technique
Teresa,Politique
Scientifiques,Science
Scientifiques morts,Science
Soldats,Technique
Soldats morts,Technique
Chefs de WICKED,Politique
Soldats qui parlent,Technique
