Personnage,Présence
Thomas,Nouveau
Les blocards,Ancien
Gally,Ancien
Newt,Ancien
Frypan,Ancien
Zart,Ancien
Alby,Ancien
WICKED,Ancien
Les coureurs,Ancien
Chuck,Ancien
Minho,Ancien
Ben,Ancien
Winston,Ancien
Jeff,Ancien
Clint,Ancien
Les griffeurs (cerbères),Ancien
Les bâtisseurs,Ancien
Les trancheurs,Ancien
Ava Paige,Nouveau
Lee,Ancien
Stephen,Ancien
Adam,Ancien
Jack,Ancien
Mick,Ancien
Scott,Ancien
Stan,Ancien
Eric,Ancien
Rob,Ancien
Joe,Ancien
Alfred,Ancien
Wes,Ancien
Justin,Ancien
Doug,Ancien
George,Ancien
Nick,Ancien
Aidan,Ancien
Wyck,Ancien
Jim,Ancien
Henry,Ancien
Dan,Ancien
Jackson,Ancien
Dimitri,Ancien
Teresa,Nouveau
Scientifiques,Nouveau
Scientifiques morts,Nouveau
Soldats,Nouveau
Soldats morts,Nouveau
Chefs de WICKED,Nouveau
Soldats qui parlent,Nouveau
