Personnage,Type
Réplicants,androïde
Tyrell corporation ,NA
Colonies de l'espace ,humain
Niander Wallace,humain
Nexus 8,androïde
Officier KD6-3.7/Joe,androïde
Sapper Morton,androïde
Lieutenante Joshi,humain
Robot interrogateur,androïde
policiers de la LAPD,humain
Eboueurs,humain
Habitants ville,humain
Habitants immeuble,humain
Joi,androïde
M. Cotton,humain
Coco,humain
Rachel,androïde
Docteur Ana Stelline,hybride
Secrétaire siège terrestre,androïde
Cliente corporation,humain
Luv,androïde
Deckard,humain
Homme dans maison de retraite,humain
Androïde nouvellement née,androïde
Freysa,androïde
Mariette,androïde
Bande d''enfants,humain
Pillards,humain
Manucure de Luv,humain
Enfants orphelinat,humain
Responsable orphelinat,humain
Doc Badger,humain
Mercenaires,humain
Armée,humain
Réplique de Rachel,androïde
Pub pour Joi,androïde
Pilotes,humain
