Personnage,STP
Eleves,Neutre
Senku,Science
Taiju,Technique
Yuzuhira,Technique
Personnes Lambda,Neutre
Président des US,Politique
Statues de pierre,Neutre
Tsukasa,Politique
Kohaku,Technique
Papa de Senku/Byakuya,Les 3
Singes,Neutre
Einstein,Scientifique
Kinrou,Technique
Ginrou,Technique
Chrome,Science
Ruri,Politique
Turquoise,Politique
Jasper,Politique
3 sœurs,Neutre
Chef du village/Père Kohaku,Politique
Suika,Technique
Villageois,Neutre
Gen,Politique
Magma,Technique
Kaseki,Technique
Mère Kohaku/Ruri,Neutre
Fée de la source,Neutre
Mantle,Technique
Argo,Neutre
Lillian,Politique
Yakov,Science
Lee,Science
Shamil,Science
Darya,Science
Groupe Tsukasa,Technique
Hyouga,Technique
Homura,Technique
