Personnages,Type
Eleves,Neutre
Senku,Science
Taiju,Science
Yuzuhira,Science
Personnes Lambda,Neutre
Président des US,Neutre
Statues de pierre,Neutre
Tsukasa,Tsukasa
Kohaku,Science
Papa de Senku/Byakuya,Neutre
Singes,Neutre
Einstein,Neutre
Kinrou,Science
Ginrou,Science
Chrome,Science
Ruri,Science
Turquoise,Science
Jasper,Science
3 sœurs,Neutre
Chef du village/Père Kohaku,Science
Suika,Science
Villageois,Science
Gen,Science
Magma,Science
Kaseki,Science
Mère Kohaku/Ruri,Neutre
Fée de la source,Neutre
Mantle,Science
Argo,Neutre
Lillian,Neutre
Yakov,Neutre
Lee,Neutre
Shamil,Neutre
Darya,Neutre
Groupe Tsukasa,Tsukasa
Hyouga,Tsukasa
Homura,Tsukasa
