Personnages,Pour ou Contre les deviants
Markus,Pour
Carl Manfred (père de Léo & Père substitutif de Markus),Pour
Léo Manfred (fils de carl),Contre
Josh,Pour
North,Pour
Simon,Pour
Lucy (androïde type Oracle de Matrix),Pour
Présidente des USA,Contre
Policiers génériques,Neutre
"Androïdes ""générique"" non-déviants",Neutre
"Androïdes ""génériques"" déviants (Jéricho)",Pour
Civils de détroit (Opinion public),Pour
John (Androïde de la sécurité de l'entrepot cyberlife),Pour
Kara,Pour
Alice Williams (fille de Todd),Pour
Luther,Pour
Todd Williams (Père de Alice),Contre
Rose Chapman (mère de Adam),Pour
Adam Chapman (fils de Rose),Pour
Frère de rose chapman (canada),Pour
policier (inspecte chez Rose),Neutre
Zaltko Andronikov,Neutre
Ralph (Androïde de la maison abandonnée),Pour
Androïde Ours,Neutre
Androïdes mutilés de Zlatko,Pour
Jerry (Déviant sauvé avec Luther en allant à la gare),Pour
Andoïdes du parc d'attraction pirate,Neutre
Connor,Pour
Hank Anderson,Pour
Cole (Fils de Hank),Neutre
Gavin Reed (méchant collègue de Hank),Contre
"Amanda (""Patron"" de Connor)",Neutre
Elijah Kamski (Créateur de Cyberlife),Neutre
Cyberlife (Entreprise d'androïde),Contre
Chloé (Androïde de Kamski),Neutre
Jeffrey Fowler (Patron de Hank),Neutre
Richard Perkins (Figure du FBI),Contre
Sumo (chien de Hank),Neutre
Ben Collins (gentil collègue de Hank),Neutre
Daniel (Déviant de l'intro) (Traqué par Connor ),Pour
Déviant tueur (Traquées par Connor ),Pour
"Déviant aux pigeons,Rupert (non attrapé)(Traqué par Connor )",Pour
Déviantes de l'Eden Club (Traquées par Connor ),Pour
"Nouveau Connor, non déviant",Contre
RA9 (Dieu androïde ?),Neutre
