X,Cinematique 1,Cinematique 2,Gameplay 2,Cinematique 3,Gameplay 3,Cinematique 4,Gameplay 4,Cinematique 5,Gameplay 5,Cinematique 6,Gameplay 6,Cinematique 7,Gameplay 7,Cinematique 8,Cinematique 9,Gameplay 10,Cinematique 11,Gameplay 11,Cinematique 12,Cinematique 13,Cinematique 14,Gameplay 14,Cinematique 15,Cinematique 16,Cinematique 17,Gameplay 17,Gameplay 18,Cinematique 19,Gameplay 19,Gameplay 20,Cinematique 21,Gameplay 21,Cinematique 22,Cinematique 23,Cinematique 24,Gameplay 24,Gameplay 25,Cinematique 26,Gameplay 26,Cinematique 27,Gameplay 27,Cinematique 28,Cinematique 29,Cinematique 30,Gameplay 30,Cinematique 31,Gameplay 31,Cinematique 32,Gameplay 32,Gameplay 33,Gameplay 34,Cinematique 35,Gameplay 35,Cinematique 36,Gameplay 36,Cinematique 37,Gameplay 37,Cinematique 38,Gameplay 38,Cinematique 39,Gameplay 39,Cinematique 40,Gameplay 40,Cinematique 41,Gameplay 41,Cinematique 42,Gameplay 42,Cinematique 43,Gameplay 43,Cinematique 44,Gameplay 44,Cinematique 45,Gameplay 45,Cinematique 46,Gameplay 46,Cinematique 47,Gameplay 47,Cinematique 48,Cinematique 49,Gameplay 49,Cinematique 50,Gameplay 50,Cinematique 51,Cinematique 52,Gameplay 52,Cinematique 53,Gameplay 53,Cinematique 54,Gameplay 54,Cinematique 55,Gameplay 55,Cinematique 56,Gameplay 56,Cinematique 57,Gameplay 57,Cinematique 58,Gameplay 58,Cinematique 59,Cinematique 60,Cinematique 61,Gameplay 61,Cinematique 62,Cinematique 63,Gameplay 63,Gameplay 64,Cinematique 65,Gameplay 65,Cinematique 66,Gameplay 66,Cinematique 67,Gameplay 67,Cinematique 68,Cinematique 69,Gameplay 69,Cinematique 70,Cinematique 71,Gameplay 72,Cinematique 73,Gameplay 73,Cinematique 74,Cinematique 75,Cinematique 76,Cinematique 77,Gameplay 77,Cinematique 78,Gameplay 78,Cinematique 79,Gameplay 79,Cinematique 80,Cinematique 81,Cinematique 82,Cinematique 83,Gameplay 83,Cinematique 84,Gameplay 84,Cinematique 85,Gameplay 85,Cinematique 86,Gameplay 86,Cinematique 87,Gameplay 87,Cinematique 88,Cinematique 89,Gameplay 89,Cinematique 90,Cinematique 91,Gameplay 91,Cinematique 92,Gameplay 92,Cinematique 93,Gameplay 93,Gameplay 94,Cinematique 95,Gameplay 95,Cinematique 96,Cinematique 97,Gameplay 97,Cinematique 98,Cinematique 99,Gameplay 99,Cinematique 100,Cinematique 101,Cinematique 102,Gameplay 102,Cinematique 103,Gameplay 103,Cinematique 104,Gameplay 104,Cinematique 105,Gameplay 105,Cinematique 106,Gameplay 106,Cinematique 107,Gameplay 107,Cinematique 108,Gameplay 108,Cinematique 109,Gameplay 109,Cinematique 110,Cinematique 111,Gameplay 111,Cinematique 112,Cinematique 113,Gameplay 113,Cinematique 114,Gameplay 114,Cinematique 115,Gameplay 115,Cinematique 116,Gameplay 116,Cinematique 117,Gameplay 117,Gameplay 118,Cinematique 119,Gameplay 119,Cinematique 120,Cinematique 121,Gameplay 121,Cinematique 122,Cinematique 123,Cinematique 124,Cinematique 125,Cinematique 126,Gameplay 126,Cinematique 127,Gameplay 127,Cinematique 128,Gameplay 128,Cinematique 129,Gameplay 129,Cinematique 130,Gameplay 130,Cinematique 131,Gameplay 131,Cinematique 132,Gameplay 132,Cinematique 133,Gameplay 133,Cinematique 134,Gameplay 134,Cinematique 135,Gameplay 135,Cinematique 136,Cinematique 137,Gameplay 137,Cinematique 138,Gameplay 138,Cinematique 139,Gameplay 139,Cinematique 140,Gameplay 140,Cinematique 141,Gameplay 141,Cinematique 142,Gameplay 142,Cinematique 143,Gameplay 143,Cinematique 144,Gameplay 144,Cinematique 145,Cinematique 146,Gameplay 146,Cinematique 147,Gameplay 147,Cinematique 148,Gameplay 148,Cinematique 149,Gameplay 149,Cinematique 150,Cinematique 151,Gameplay 151,Cinematique 152,Gameplay 152,Cinematique 153,Gameplay 153,Cinematique 154,Cinematique 155,Gameplay 155,Cinematique 156,Gameplay 156,Cinematique 157,Cinematique 158,Gameplay 158,Cinematique 159,Gameplay 159,Cinematique 160,Gameplay 160,Cinematique 161,Cinematique 162,Gameplay 162,Cinematique 163,Cinematique 164,Cinematique 165,Cinematique 166,Gameplay 166,Cinematique 167,Gameplay 167,Cinematique 168,Gameplay 168,Gameplay 169,Cinematique 170,Gameplay 170,Cinematique 171,Gameplay 171,Cinematique 172,Gameplay 172,Cinematique 173,Gameplay 173,Cinematique 174,Gameplay 174,Cinematique 175,Gameplay 175,Cinematique 176,Gameplay 176,Cinematique 177,Cinematique 178,Gameplay 178,Cinematique 179,Gameplay 179,Cinematique 180,Cinematique 181,Cinematique 182,Cinematique 183,Gameplay 183,Cinematique 184,Gameplay 184,Gameplay 185,Cinematique 186,Gameplay 186,Cinematique 187,Gameplay 187,Cinematique 188,Cinematique 189,Cinematique 190,Gameplay 190,Cinematique 191,Gameplay 191,Cinematique 192,Gameplay 192,Cinematique 193,Cinematique 194,Cinematique 195,Gameplay 195,Cinematique 196,Gameplay 196,Gameplay 197,Cinematique 198,Gameplay 198,Cinematique 199,Cinematique 200,Cinematique 201,Cinematique 202,Gameplay 202,Cinematique 203,Cinematique 204,Gameplay 204,Cinematique 205,Gameplay 205,Cinematique 206,Gameplay 206,Cinematique 207,Gameplay 207,Cinematique 208,Cinematique 209,Cinematique 210,Cinematique 211,Cinematique 212,Cinematique 213,Cinematique 214,Gameplay 214,Cinematique 215,Gameplay 215,Gameplay 216,Cinematique 217,Cinematique 218,Cinematique 219,Cinematique 220,Cinematique 221,Cinematique 222,Gameplay 222,Cinematique 223,Cinematique 224,Cinematique 225,Cinematique 226,Gameplay 226,Cinematique 227,Cinematique 228,Cinematique 229,Cinematique 230,Cinematique 231,Cinematique 232,Cinematique 233,Gameplay 233,Cinematique 234,Gameplay 234,Cinematique 235,Cinematique 236,Cinematique 237,Cinematique 238,Cinematique 239
Markus,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,,,,,1,,,,,,1,,,1,,,1,,,1,1,1,
Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Manfred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Manfred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policier Generique ,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,1,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,,,1,1,1,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,1,1,,,1,1,,,,,,1,,1,,,1,1,,1,,1,
Opinion Public / Citoyens Humains,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,,,,,,,,1,1,1,1,1,,1,,,,,,,,,1,,,1,1,1,,,,,,,,1,
Presidente des Etats-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,1
