Personnages,
Vivienne Rook,Pro-Vivienne
Daniel Lyons,Anti-Vivienne
Stephen Lyons,Anti-Vivienne
Celeste Bisme-Lyons,Anti-Vivienne
Rosie Lyons,Pro-Vivienne
Edith Lyons,Anti-Vivienne
Muriel Deacon,Anti-Vivienne
Ralph cousins,Indefini
Bethany Bisme-Lyons,Anti-Vivienne
Ruby Bisme-Lyons,Indefini
Viktor Goroya,Anti-Vivienne
Signor,Indefini
Lee Lyons,Indefini
Lincoln Lyons,Indefini
Foule espagnole,Indefini
Journalistes,Pro-Vivienne
Foule athenienne,Indefini
Foule italienne,Indefini
Foule hongroise,Indefini
Elaine Parris,Pro-Vivienne
Jonjo,Pro-Vivienne
Fran Baxter,Pro-Vivienne
Madeleine Barry,Pro-Vivienne
Trevor Lyle,Anti-Vivienne
Jim (chauffeur du bus),Indefini
Passagers du bus,Indefini
Personnel medical ,Indefini
Trafiquants,Pro-Vivienne
Elodie,Indefini
Immigrants ,Anti-Vivienne
Police + Ambulance,Indefini
Partisans de Vivienne Rook,Pro-Vivienne
Militaires,Indefini
Citoyens anglais,Indefini
M.Briscoe,Indefini
Administration anglaise,Indefini
 Yvonne (Avocate de Viktor),Indefini
Candidats deputes,Anti-Vivienne
Presentateur BBC News,Indefini
Clients Banque,Indefini
Lizzie Mbeka,Indefini
Police Ukrainienne,Indefini
Associee Edith,Indefini
Holly ,Indefini
Salaries entreprise,Indefini
Salaries Beckondoe/collegues Stephen,Indefini
Superieure Rosie,Indefini
Amis de la Famille,Indefini
Police espagnole,Indefini
Famille Vincent John Lyons,Indefini
Arnaqueurs operationTranshumain,Indefini
Woody,Indefini
Collegues de Stephen,Indefini
Agents de securite,Indefini
Ahmed et les rebelles,Indefini
Danny Lyons (fils de Rosie),Indefini
Tony,Indefini
Lesley (nounou),Indefini
Clyde (petit copain Ruby),Indefini
M. Jayansundera (voisin Rosie),Indefini
