Personnage,Type
Mortimer,science
Capitaine Blake,politique
Olrik,politique
Empereur Jaune,politique
Gradés de l'armée Jaune,politique
La garde Jaune,politique
Le bezendjas,politique
serviteur traitre de Zahan-Khan,politique
serviteurs de Zahan-Khan,politique
Zahan-Khan,politique
Espion Anglais,politique
Soldat Jaune,politique
Base Scaw fell,technique
Mr Smiths et Bings,politique
habitants innocents,indéfini
Aviation Jaune,politique
Tchan,technique 
Journaliste,politique
Soldats Anglais,politique
Nasir,politique
Luftwäffe,politique
Golden Rocket,technique
L'aile rouge,technique
Le Grand Conseil Jaune,politique
Chef d'escadrille tome1,politique
Base secrète sous marine,politique
Alliés Britanniques,politique
Parachutistes britanniques,politique
Le commandant du sous-marin,technique
Commandant Irannien,politique
soldats Iraniens,politique
Lieutenant espion Jaune,politique
Commissaire Iranien,politique
Jim,indéfini
Excellence Jaune,politique
Les Montagnards (alliés britanniques),politique
les résistants du monde,politique
capitaine Li,politique
ingénieur 1,technique
équipage sous-marin,technique
gouverneur William Gray,politique
Lieutenant José Lopez,politique
Colonel Errol Hall,politique
Docteur Sen-Tsié,science
Capitaine Léon Didier,politique
Professeur Jean Pirelle,science
Professeur Ivan Mikooline,science
Professeur Alvéar,science
Axel Haakon,indéfini
équipe d'ingénieur,technique
peuple jaune,indéfini
iranien,indéfini
prisonniers,politique
docteur Sun Fo,science
poste de guet,politique
lieutenant brady,politique
Harper,politique
Capitaine Manderton,politique
Mallow,technique
Groupe CC,technique
opérateurs radio jaunes,politique
Chang,technique
matelots jaune,politique
Steve second du sous marin,technique
flotte jaune,politique
technicien,technique
Trenter,technique
quartier maitre,politique
groupe scaphandres,technique
grand calamar,indéfini
chameau,indéfini
le pêcheur isolé,indéfini
Mr Adams,politique
