Personnage,Type
Mortimer,Rebelle
Capitaine Blake,Rebelle
Olrik,Jaune
Empereur Jaune,Jaune
Gradés de l'armée Jaune,Jaune
La garde Jaune,Jaune
Le bezendjas,Jaune
serviteur traitre de Zahan-Khan,Jaune
serviteurs de Zahan-Khan,Rebelle
Zahan-Khan,Rebelle
Espion Anglais,Rebelle
Soldat Jaune,Jaune
Base Scaw fell,Rebelle
Mr Smiths et Bings,Indéfini
habitants innocents,Indéfini
Aviation Jaune,Jaune
Tchan,Jaune
Journaliste,Indéfini
Soldats Anglais,Rebelle
Nasir,Rebelle
Luftwäffe,Rebelle
Golden Rocket,Rebelle
L'aile rouge,Jaune
Le Grand Conseil Jaune,Jaune
Chef d'escadrille tome1,Jaune
Base secrète sous marine,Rebelle
Alliés Britanniques,Rebelle
Parachutistes britanniques,Rebelle
Le commandant du sous-marin,Rebelle
Commandant Irannien,Rebelle
soldats Iraniens,Rebelle
Lieutenant espion Jaune,Jaune
Commissaire Iranien,Rebelle
Jim,Indéfini
Excellence Jaune,Jaune
Les Montagnards (alliés britanniques),Rebelle
les résistants du monde,Rebelle
capitaine Li,Jaune
ingénieur 1,Rebelle
équipage sous-marin,Rebelle
gouverneur William Gray,Rebelle
Lieutenant José Lopez,Rebelle
Colonel Errol Hall,Rebelle
Docteur Sen-Tsié,Rebelle
Capitaine Léon Didier,Rebelle
Professeur Jean Pirelle,Rebelle
Professeur Ivan Mikooline,Rebelle
Professeur Alvéar,Rebelle
Axel Haakon,Indéfini
équipe d'ingénieur,Rebelle
peuple jaune,Groupe Jaune
iranien,Rebelle
prisonniers,Rebelle
docteur Sun Fo,Jaune
poste de guet,Rebelle
lieutenant brady,Rebelle
Harper,Rebelle
Capitaine Manderton,Rebelle
Mallow,Rebelle
Groupe CC,Rebelle
opérateurs radio jaunes,Jaune
Chang,Jaune
matelots jaune,Jaune
Steve second du sous marin,Rebelle
flotte jaune,Jaune
technicien,Rebelle
Trenter,Rebelle
quartier maitre,Rebelle
groupe scaphandres,Rebelle
grand calamar,Animal
chameau,Animal
le pêcheur isolé,Jaune
Mr Adams,Rebelle
