,Genre
U.S. Robots,Indefini
Dr. Susan Calvin,Femme
Tony (Robot),Robot
Claire Belmont,Femme
Larry Belmont,Homme
Gladys Claffern,Femme
Peter Bogert,Homme
Pilote du Parsec (Robot),Robot
Gerald Black,Homme
Nigel Ronson,Homme
Richard Kallner,Homme
Directeur Schloss,Homme
Guide,Homme
Alfred Lanning,Homme
Mortimer W. Jacobson,Homme
Charles Randow (Technicien de l'ordinateur),Homme
Lenny (Robot),Robot
(Ordinateur),Robot
Juge Harlow Shane,Homme
L'avocat de la défense,Homme
Pr. Barnabas H. Goodfellow,Homme
Easy ( Robot),Robot
Francis J. Hart,Homme
Pr. Minott,Homme
Pr. Simon Ninheimer,Homme
Pr. Jim Baker,Homme
Scott Robertson,Homme
Dr. Speildell,Homme
Jonathan Quell,Homme
Sam Tobe,Homme
AL-76 (Robot),Robot
Randolph Payne,Homme
Mirandy Payne,Femme
Lemuel Olivier Cooper,Homme
Shérif Saunder,Homme
Les Fermiers nerveux,Homme
Austin Wilde,Homme
ZZ-Un (Robot),Robot
ZZ-Deux (Robot),Robot
ZZ-Trois (Robot),Robot
Le Jovien (expert en communication radio),Alien
Le peuple Jovien,Alien
Les maitres humains,Indefini
L'Officiel Jovien,Alien
Mike Donovan,Homme
Emma Deux (Robot),Robot
MacFarlane,Homme
Elias Lynn,Homme
Officier de Sécurité Ralph G. Brekenridge (Robot),Robot
Nous (Bloc Américain),Indefini
Eux (Bloc Soviétique),Indefini
Humphrey Carl Lazlo,Homme
Les 10 Humanoïdes (Robots),Robot
Assistant à la Présidence Jeffreys,Homme
Secrétaire d’État à la Science Amberley,Homme
Secrétaire d’État à la Sécurité Macalaster,Homme
