Personnages,Type
Portia ,technique
Petite fille (Amanda),politique
Grace / Fille,politique
Richard Martin (pere),politique
Denis Mansky (PDG),politique
Ruper Burns,science
Galatea Robot,technique
Bill Feingold,politique
Assistant de Feingold,non-defini
lloyd,politique
Femme Lloyd,non-defini
Biker petit copain de Grace,non-defini
frank,non-defini
monica,non-defini
Charles,politique
Presidente ,politique
President ,politique
Representants Zimbabwe ,politique
Pretre,non-defini
Personnes présentes au mariage,non-defini
enfants de coeurs,non-defini
Habitants de San Francisco,politique
Personnes présentes au bal,technique
Chanteuse au bal,technique
Parents de Porcia,politique
Chien,technique
Rénovateurs église,technique
Cour,politique
Livreurs ,technique
Mme Martin,politique
Androide Lambda,technique
Banquier,politique
Robot hors services,technique
Robot foncionnels ,technique
clients du marché,non-defini
