Personnages,Type
Portia ,humain
Petite fille (Amanda),humain
Grace / Fille,humain
Richard Martin (pere),humain
Denis Mansky (PDG),humain
Ruper Burns,humain
Galatea Robot,robot
Bill Feingold,humain
Assistant de Feingold,humain
lloyd,humain
Femme Lloyd,humain
Biker petit copain de Grace,humain
frank,humain
monica,humain
Charles,humain
Presidente ,humain
President ,humain
Representants Zimbabwe ,humain
Pretre,humain
Personnes présentes au mariage,humain
enfants de coeurs,humain
Habitants de San Francisco,humain
Personnes présentes au bal,humain
Chanteuse au bal,humain
Parents de Porcia,humain
Chien,animal
Rénovateurs église,humain
Cour,humain
Livreurs ,humain
Mme Martin,humain
Androide Lambda,robot
Banquier,humain
Robot hors services,robot
Robot foncionnels ,robot
clients du marché,humain
