Personnage,Attribut
Scarlet O'Hara,Pour
Ray STEAM,Contre
Edward STEAM,Pour
Archibald SIMON,Pour
Lloyd STEAM,Contre
Jason,Pour
Alfred Smith,Pour
David,Pour
Prof. Stephenson,Pour
Général Anglais,Pour
Emma,Neutre
Thomas,Neutre
Ray no Haha,Neutre
Ouvriers filature,Neutre
Inspecteurs fondation O hara,Pour
Colombus,Neutre
Peter,Neutre
Directeur d'une filature,Neutre
Habitants de Manchester,Neutre
Londoniens,Neutre
Conducteur de train,Neutre
Chris,Neutre
Fils du directeur de la filature,Neutre
Président de la fondation,Pour
Ouvriers fondation O'Hara,Pour
Cheminots,Neutre
Chefs d’Etat,Pour
Marins,Pour
Armée anglaise,Pour
Soldats de la fondation,Pour
