Personnage,Attribut
La communauté musulmane,Religion
Les immigrés clandestins,Politique
La terre entière,Politique
Bébé diego,Non défini
Théo,Technique
La foule,Non défini
la presentatrice,Politique
les parents de diego,Non défini
automobilistes,Non défini
passants,Non défini
femme avec son bras,Politique
Travailleur du ministère de l'énergie,Technique
femme la plus jeune,Non défini
patron,Non défini
La voix électronique,Politique
police,Politique
Jasper,Science
Les poissons,Politique
l'état,Politique
Lauren,Religion
Janice,Politique
Renouveau planétaire Tomorrow,Politique
Les femmes,Politique
Les citoyens britanniques,Politique
Patrick,Technique
Luke,Technique
Julianne,Politique
Kee,Politique
cousin de théo,Art
Fils du cousin de théo,Non défini
Martha,Non défini
Vieille femme et chien,Non défini
Myriam,Religion
Bandits,Technique
religion (bhoudisme ? Shanti),Religion
Thomasz ,Non défini
Dylan (fils de Theo et Julianne),Non défini
fille de Kee,Politique
flic facho puant (Cid),Technique
daim,Non défini
collègue sage femme de myriam,Technique
marishka (roumaine),Technique
immigrés du bus,Politique
policier du bus,Politique
immigrés des camps,Politique
rebelles du camp,Politique
vieil homme,Non défini
femme du vieil homme,Non défini
commandant rebelle du camp,Technique
troupeau de chèvres,Non défini
armée,Technique
commandant de l'armée,Technique
avions de l'armée,Technique
