Personnage,Attribut
La communauté musulmane,Non défini
Les immigrés clandestins,Migrants
La terre entière,Non défini
Bébé diego,Non défini
Théo,Rebelles
La foule,Non défini
la presentatrice,Non défini
les parents de diego,Non défini
automobilistes,Non défini
passants,Non défini
femme avec son bras,Non défini
Travailleur du ministère de l'énergie,Gouvernement
femme la plus jeune,Non défini
patron,Gouvernement
La voix électronique,Gouvernement
police,Gouvernement
Jasper,Non-combattants
Les poissons,Gouvernement
l'état,Rebelles
Lauren,Rebelles
Janice,Rebelles
Renouveau planétaire Tomorrow,Rebelles
Les femmes,Non défini
Les citoyens britanniques,Non défini
Patrick,Rebelles
Luke,Rebelles
Julianne,Rebelles
Kee,Rebelles
cousin de théo,Gouvernement
Fils du cousin de théo,Non défini
Martha,Non défini
Vieille femme et chien,Rebelles
Myriam,Rebelles
Bandits,Rebelles
religion (bhoudisme ? Shanti),Non défini
Thomasz ,Rebelles
Dylan (fils de Theo et Julianne),Non défini
fille de Kee,Non défini
flic facho puant (Cid),Gouvernement
daim,Non défini
collègue sage femme de myriam,Migrants
marishka (roumaine),Migrants
immigrés du bus,Migrants
policier du bus,Gouvernement
immigrés des camps,Migrants
rebelles du camp,Rebelles
vieil homme,Migrants
femme du vieil homme,Migrants
commandant rebelle du camp,Rebelles
troupeau de chèvres,Non défini
armée,Gouvernement
commandant de l'armée,Gouvernement
avions de l'armée,Gouvernement
