Personnages,Type
Okabe ,Science
Mayuri ,Autre
Kurisu ,Science
Suzuha ,Technique
Daru ,Technique
Feyris ,Technique
Mr Braun,Politique
Nakabashi,Science
John Titor,Politique
L'organisation,Politique
CERN,Politique
Dmail,Technique
Voyage temporel,Technique
Dr Pepper,Technique
Steins gate,Science
Ruka ,Technique
Pere de Ruka,Technique
Moeka ,Technique
IBN5100,Technique
ligne d'univers BETA,Science
Z programme,Science
Nae,Autre
FB,Politique
May queen,Technique
Readingsteiner,Science
pere de Ferys,Politique
Barel Titor,Politique
Transfert de memoire,Technique
Tueurs(veilleur),Technique
Mort de Mayuri,Autre
Mort de Kurisu,Autre
Fubuki,Technique
Barriere de divergence,Science
Groupe de resistance,Politique
