Personnage,Type
Zachry,héros
Dr Henry Goose,ennemi
Ewings,héros
Equipage,neutre
Capitaine du navire,ennemi
Luisa Ray,héros
Timothy Cavendish (éditeur),héros
Sixsmith,allié
Frobisher,héros
Vyvyan Ayrs,ennemi
Sonmi,héros
Archiviste,allié
Ministère,neutre
Police,neutre
Dermot Hoggins,neutre
Horrox,ennemi
Haskel Moore,ennemi
Kupaka,neutre
esclaves noirs,neutre
Prof Mackerras,neutre
Jocasta,allié
Lester Ray,allié
Megan Sixsmith,allié
Felix Finch,ennemi
Cousins de Dermot,ennemi
Papa Song,ennemi
Prophète Rhee,ennemi
Yoona-939,allié
Adam,allié
Fils d'Adam (Jonas,allié
Tribu Koba,ennemi
Prescients,allié
Chaton (nièce de Zach),allié
Mère de Chaton,allié
Meronyme,allié
Homme dans la tete de Zach,ennemi
Village de Zach,allié
Déesse Sonmi,allié
Hae Joo Chang,allié
Denholme Cavendish,ennemi
Georgette Cavendish,ennemi
Tilda,allié
Autua,allié
Bill Smoke,ennemi
Kesselring,neutre
Ursula,allié
Abesse,allié
Javier,allié
Mme Noaks (gouvernante,ennemi
Joe Napier,allié
Mr Hooks,ennemi
chercheur Isaac Sachs,allié
Soldats en noir (Neo Seoul),ennemi
Chef des soldats,ennemi
Groupe de retraités,allié
